product,console,source,loose_price,old_cib,new_cib,ratio,status,notes
720 - NES Game,,,,,,,NO_CONSOLE,
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,ebay(5),22.99,30.99,49.99,2.17,PREVIEW,diff=19.0
AFL Premiership 2006 - PS2 Game,Playstation 2,synthetic_ratio_repair,113.98,204.99,205.99,1.81,PREVIEW,diff=1.0
Alien 3 - SNES Game,,,,,,,NO_CONSOLE,
All-Star Baseball 2003 - GBA Game,Gameboy Advance,ebay(3),10.99,12.99,49.99,4.55,PREVIEW,diff=37.0
Animaniacs Ten Pin Alley - PS1 Game,Playstation,synthetic_ratio_repair(ebay_was_11.03),11.99,19.99,21.99,1.83,PREVIEW,diff=2.0
Animorphs Shattered Reality - PS1 Game,Playstation,synthetic_ratio_repair,14.99,33.99,26.99,1.80,PREVIEW,diff=-7.0
Are You Smarter Than A 5th Grader? Make the Grade - PS2 Game,Playstation 2,ebay(3),6.48,10.99,9.99,1.54,PREVIEW,diff=-1.0
Arena Football Road to Glory - PS2 Game,Playstation 2,synthetic_ratio_repair,13.34,23.99,24.99,1.87,PREVIEW,diff=1.0
Assault Retribution - PS1 Game,Playstation,ebay(2),19.99,23.99,31.99,1.60,PREVIEW,diff=8.0
