product,variant,type,market_price,old_price,new_price,diff,profit,status
Black - PS2 Game,game only,loose,302.5,16.15,408.99,392.84,94.33,SAFETY (2432% change)
Black - PS2 Game,complete (cib),cib,522.0,16.15,704.99,688.84,162.25,SAFETY (4265% change)
Black - Xbox Game,game only,loose,302.5,14.93,408.99,394.06,94.33,SAFETY (2639% change)
Black - Xbox Game,complete (cib),cib,522.0,14.93,704.99,690.06,162.25,SAFETY (4622% change)
Bug - Sega Saturn Game,game only,loose,13.97,32.53,18.99,-13.54,4.17,SAFETY (42% change)
Bug - Sega Saturn Game,complete (cib),cib,41.12,32.53,55.99,23.46,12.95,SAFETY (72% change)
Extreme G - Nintendo 64 Game,game only,loose,359.99,14.14,485.99,471.85,111.61,SAFETY (3337% change)
Oni - PS2 Game,game only,loose,44.99,18.91,60.99,42.08,13.93,SAFETY (223% change)
Oni - PS2 Game,complete (cib),cib,105.99,18.91,143.99,125.08,33.52,SAFETY (661% change)
Snowboarding - PS1 Game,game only,loose,15.68,6.02,21.99,15.97,5.37,SAFETY (265% change)
Snowboarding - PS1 Game,complete (cib),cib,52.94,6.02,71.99,65.97,16.66,SAFETY (1096% change)
Tennis - Gameboy Game,game only,loose,35.0,8.83,47.99,39.16,11.3,SAFETY (443% change)
Tennis - Gameboy Game,complete (cib),cib,69.99,8.83,94.99,86.16,21.95,SAFETY (976% change)
Tennis - NES Game,game only,loose,35.0,14.07,47.99,33.92,11.3,SAFETY (241% change)
Tennis - NES Game,complete (cib),cib,69.99,14.07,94.99,80.92,21.95,SAFETY (575% change)
