product,console,loose_old,loose_new,cib_old,cib_new,loose_market,cib_market,source,status
1943: The Battle of Midway - NES Game,NES,25.67,24.99,25.67,45.99,19.014814814814816,34.22666666666667,uplift_1.8x,APPLY
7 Wonders of the Ancient World - PS2 Game,Playstation 2,13.99,12.99,13.99,17.99,9.87,9.99,pc_search,APPLY
720 - NES Game,NES,7.03,6.99,7.03,11.99,5.207407407407407,9.373333333333333,uplift_1.8x,APPLY
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,17.39,16.99,17.39,30.99,12.881481481481481,23.186666666666667,uplift_1.8x,APPLY
Academy of Champions Soccer - Wii Game,Wii,8.99,8.99,8.99,15.99,6.659259259259259,11.986666666666666,uplift_1.8x,APPLY
Action Girlz Racing - Wii Game,Wii,6.99,5.99,6.99,10.99,4.59,5.0,pc_search,APPLY
Activision Anthology - PS2 Game,Playstation 2,12.99,11.99,12.99,12.99,9.0,9.82,pc_search,APPLY
AFL Premiership 2006 - PS2 Game,Playstation 2,113.98,112.99,113.98,204.99,84.42962962962963,151.97333333333333,uplift_1.8x,APPLY
Agatha Christie Evil Under the Sun - Wii Game,Wii,12.99,11.99,12.99,16.99,9.0,9.07,pc_search,APPLY
Air Diver - Sega Genesis Game,Sega Genesis,9.48,8.99,9.48,16.99,7.022222222222222,12.64,uplift_1.8x,APPLY
Alien 3 - SNES Game,SNES,29.67,28.99,29.67,52.99,21.977777777777778,39.56,uplift_1.8x,APPLY
Aliens in the Attic - Wii Game,Wii,9.99,7.99,9.99,8.99,6.49,6.99,pc_search,APPLY
All-Star Baseball 2003 - GBA Game,Gameboy Advance,7.24,6.99,7.24,12.99,5.362962962962963,9.653333333333334,uplift_1.8x,APPLY
All-Star Baseball 2005 - PS2 Game,Playstation 2,10.99,10.99,10.99,18.99,8.14074074074074,14.653333333333334,uplift_1.8x,APPLY
All-Star Baseball 2005 - Xbox Game,Xbox,5.39,4.99,5.39,8.99,3.992592592592592,7.186666666666666,uplift_1.8x,APPLY
All-Star Racing - PS1 Game,Playstation,7.96,4.99,7.96,8.99,4.36,7.11,pc_search,APPLY
All-Star Racing 2 - PS1 Game,Playstation,8.99,7.99,8.99,9.99,6.31,7.77,pc_search,APPLY
American Chopper - Xbox Game,Xbox,5.99,4.99,5.99,5.99,3.99,4.44,pc_search,APPLY
American Pool - PS1 Game,Playstation,9.41,6.99,9.41,7.99,5.21,6.49,pc_search,APPLY
Animal Kingdom: Wildlife Expedition - Wii Game,Wii,8.59,7.99,8.59,14.99,6.362962962962962,11.453333333333333,uplift_1.8x,APPLY
Animaniacs Ten Pin Alley - PS1 Game,Playstation,11.38,10.99,11.38,19.99,8.42962962962963,15.173333333333336,uplift_1.8x,APPLY
Animorphs Shattered Reality - PS1 Game,Playstation,18.98,17.99,18.98,33.99,14.059259259259258,25.306666666666665,uplift_1.8x,APPLY
Arc The Lad Collection - PS1 Game,Playstation,132.98,131.99,132.98,238.99,98.50370370370369,177.30666666666664,uplift_1.8x,APPLY
Arcade Party Pak - PS1 Game,Playstation,14.99,13.99,14.99,18.99,10.56,10.93,pc_search,APPLY
Arcade Zone - Wii Game,Wii,13.99,12.99,13.99,17.99,9.99,9.99,pc_search,APPLY
Arcade's Greatest Hits Atari Collection 1 - PS1 Game,Playstation,11.31,10.99,11.31,19.99,8.377777777777778,15.080000000000002,uplift_1.8x,APPLY
Archon - NES Game,NES,16.88,15.99,16.88,29.99,12.503703703703701,22.506666666666664,uplift_1.8x,APPLY
Are You Smarter Than A 5th Grader? Make the Grade - PS2 Game,Playstation 2,6.48,5.99,6.48,10.99,4.8,8.64,uplift_1.8x,APPLY
Arena Football Road to Glory - PS2 Game,Playstation 2,13.34,12.99,13.34,23.99,9.881481481481481,17.786666666666665,uplift_1.8x,APPLY
Army Men Air Attack - PS1 Game,Playstation,10.99,8.99,10.99,10.99,6.99,8.54,pc_search,APPLY
Army Men Sarge's Heroes - Sega Dreamcast Game,Sega Dreamcast,33.99,32.99,33.99,37.99,24.63,24.99,pc_search,APPLY
Army Men World War Land Sea Air - PS1 Game,Playstation,15.11,14.99,15.11,26.99,11.192592592592591,20.146666666666665,uplift_1.8x,APPLY
Art Alive - Sega Genesis Game,Sega Genesis,9.37,8.99,9.37,15.99,6.94074074074074,12.493333333333332,uplift_1.8x,APPLY
Assassin's Creed: Bloodli - NES Game - PSP Game,PSP,18.78,17.99,18.78,23.99,13.88,18.38,pc_search,APPLY
Assault Retribution - PS1 Game,Playstation,13.76,12.99,13.76,23.99,10.192592592592591,18.346666666666664,uplift_1.8x,APPLY
Asteroids - PS1 Game,Playstation,8.99,7.99,8.99,12.99,6.22,6.35,pc_search,APPLY
Astro Boy: The Video Game - Wii Game,Wii,8.98,7.99,8.98,15.99,6.651851851851852,11.973333333333334,uplift_1.8x,APPLY
Atomic Robo-Kid - Sega Genesis Game,Sega Genesis,31.54,30.99,31.54,55.99,23.36296296296296,42.05333333333333,uplift_1.8x,APPLY
Avatar the Last Airbender - Gamecube Game,Gamecube,14.99,14.99,14.99,25.99,11.103703703703703,19.986666666666665,uplift_1.8x,APPLY
Axelay - SNES Game,SNES,131.54,130.99,131.54,235.99,97.43703703703703,175.38666666666666,uplift_1.8x,APPLY
Baby Boomer - NES Game,NES,104.3,103.99,104.3,186.99,77.25925925925925,139.06666666666666,uplift_1.8x,APPLY
Back to the Future II and III - NES Game,NES,26.65,25.99,26.65,46.99,19.740740740740737,35.533333333333324,uplift_1.8x,APPLY
Backstreet Billiards - PS1 Game,Playstation,8.95,7.99,8.95,15.99,6.629629629629629,11.933333333333332,uplift_1.8x,APPLY
Backyard Baseball '10 - PS2 Game,Playstation 2,16.97,15.99,16.97,29.99,12.57037037037037,22.626666666666665,uplift_1.8x,APPLY
Backyard Football 08 - PS2 Game,Playstation 2,10.45,9.99,10.45,17.99,7.74074074074074,13.933333333333332,uplift_1.8x,APPLY
Backyard Football 09 - PS2 Game,Playstation 2,9.99,8.99,9.99,13.99,6.93,6.98,pc_search,APPLY
Backyard Football 2006 - GBA Game,Gameboy Advance,5.79,4.99,5.79,9.99,4.288888888888889,7.72,uplift_1.8x,APPLY
Backyard Football 2006 - PS2 Game,Playstation 2,8.32,7.99,8.32,13.99,6.162962962962963,11.093333333333334,uplift_1.8x,APPLY
Backyard Hockey - GBA Game,Gameboy Advance,8.31,7.99,8.31,13.99,6.155555555555556,11.08,uplift_1.8x,APPLY
Bad Boys Miami Takedown - PS2 Game,Playstation 2,8.3,7.99,8.3,13.99,6.148148148148148,11.066666666666666,uplift_1.8x,APPLY
Bad News Baseball - NES Game,NES,26.33,25.99,26.33,46.99,19.5037037037037,35.10666666666666,uplift_1.8x,APPLY
Bad Street Brawler - NES Game,NES,14.49,13.99,14.49,25.99,10.733333333333333,19.32,uplift_1.8x,APPLY
Balls of Fury - Wii Game,Wii,6.99,5.99,6.99,10.99,4.76,4.77,pc_search,APPLY
Band Hero - Wii Game,Wii,10.99,10.99,10.99,15.99,8.15,8.52,pc_search,APPLY
Bandai Golf Challenge Pebble Beach - NES Game,NES,5.09,4.99,5.09,8.99,3.77037037037037,6.786666666666666,uplift_1.8x,APPLY
Barbie and the Three Musketeers - Wii Game,Wii,11.99,10.99,11.99,12.99,8.48,9.99,pc_search,APPLY
Barbie Gotta Have Games - PS1 Game,Playstation,9.5,8.99,9.5,16.99,7.037037037037036,12.666666666666666,uplift_1.8x,APPLY
Barbie Horse Adventures Wild Horse Rescue - PS2 Game,Playstation 2,19.84,18.99,19.84,34.99,14.696296296296294,26.45333333333333,uplift_1.8x,APPLY
Baseball Blast! - Wii Game,Wii,10.51,9.99,10.51,17.99,7.785185185185185,14.013333333333334,uplift_1.8x,APPLY
Baseball Stars 2 - NES Game,NES,40.67,39.99,40.67,72.99,30.125925925925927,54.22666666666667,uplift_1.8x,APPLY
Bases Loaded 2 Second Season - NES Game,NES,7.24,6.99,7.24,12.99,5.362962962962963,9.653333333333334,uplift_1.8x,APPLY
Batman Beyond - Nintendo 64 Game,Nintendo 64,63.7,62.99,63.7,113.99,47.18518518518518,84.93333333333334,uplift_1.8x,APPLY
Batman Forever - SNES Game,SNES,12.3,11.99,12.3,21.99,9.11111111111111,16.4,uplift_1.8x,APPLY
Batman Returns - Sega Genesis Game,Sega Genesis,19.39,18.99,19.39,33.99,14.362962962962962,25.85333333333333,uplift_1.8x,APPLY
Batman Revenge of the Joker - Sega Genesis Game,Sega Genesis,78.72,77.99,78.72,140.99,58.3111111111111,104.96,uplift_1.8x,APPLY
Batman Rise of Sin Tzu - GBA Game,Gameboy Advance,36.24,35.99,36.24,64.99,26.844444444444445,48.32,uplift_1.8x,APPLY
Battle Bull - Gameboy Game,Gameboy,27.59,26.99,27.59,48.99,20.437037037037037,36.78666666666667,uplift_1.8x,APPLY
Battle Clash - SNES Game,SNES,10.22,9.99,10.22,17.99,7.57037037037037,13.626666666666667,uplift_1.8x,APPLY
Battle Hunter - PS1 Game,Playstation,17.23,16.99,17.23,30.99,12.762962962962963,22.973333333333333,uplift_1.8x,APPLY
Battle Master - Sega Genesis Game,Sega Genesis,22.23,21.99,22.23,39.99,16.466666666666665,29.639999999999997,uplift_1.8x,APPLY
Battle of Giants: Dinosaurs Strike - Wii Game,Wii,12.73,11.99,12.73,21.99,9.429629629629629,16.973333333333333,uplift_1.8x,APPLY
Battle Squadron - Sega Genesis Game,Sega Genesis,27.48,26.99,27.48,48.99,20.355555555555554,36.64,uplift_1.8x,APPLY
Battle Stations - PS1 Game,Playstation,9.99,8.99,9.67,9.99,6.83,7.44,pc_search,APPLY
Battletech - Sega Genesis Game,Sega Genesis,28.25,27.99,28.25,49.99,20.925925925925924,37.666666666666664,uplift_1.8x,APPLY
Beetlejuice - Gameboy Game,Gameboy,75.6,74.99,75.6,135.99,55.99999999999999,100.79999999999998,uplift_1.8x,APPLY
BeetleJuice - NES Game,NES,44.05,43.99,44.05,78.99,32.629629629629626,58.73333333333333,uplift_1.8x,APPLY
Ben 10: Omniverse - Wii Game,Wii,17.99,16.99,17.99,17.99,12.95,13.43,pc_search,APPLY
Berenstain Bears and the Spooky Old Tree - GBA Game,Gameboy Advance,15.27,14.99,15.27,26.99,11.31111111111111,20.36,uplift_1.8x,APPLY
Bermuda Triangle: Saving the Coral - Wii Game,Wii,7.75,6.99,7.75,12.99,5.7407407407407405,10.333333333333334,uplift_1.8x,APPLY
Beyblade V Force - GBA Game,Gameboy Advance,5.44,4.99,5.44,8.99,4.029629629629629,7.253333333333333,uplift_1.8x,APPLY
Beyblade: Metal Fusion Battle Fortress - Wii Game,Wii,9.78,8.99,9.78,16.99,7.244444444444444,13.04,uplift_1.8x,APPLY
Beyond Oasis - Sega Genesis Game,Sega Genesis,74.3,73.99,74.3,132.99,55.03703703703703,99.06666666666666,uplift_1.8x,APPLY
Big League Sports: Summer - Wii Game,Wii,9.91,8.99,9.91,16.99,7.34074074074074,13.213333333333333,uplift_1.8x,APPLY
Big Mountain 2000 - Nintendo 64 Game,Nintendo 64,125.06,124.99,125.06,224.99,92.63703703703703,166.74666666666667,uplift_1.8x,APPLY
Big Nose the Caveman - NES Game,NES,28.03,27.99,28.03,49.99,20.762962962962963,37.373333333333335,uplift_1.8x,APPLY
Biker Mice From Mars - SNES Game,SNES,114.55,113.99,114.55,205.99,84.85185185185185,152.73333333333332,uplift_1.8x,APPLY
Bill and Ted's Excellent Video Game - NES Game,NES,25.72,24.99,25.72,45.99,19.05185185185185,34.29333333333333,uplift_1.8x,APPLY
Bill Walsh College Football 95 - Sega Genesis Game,Sega Genesis,7.48,6.99,7.48,12.99,5.54074074074074,9.973333333333333,uplift_1.8x,APPLY
Bio-Hazard Battle - Sega Genesis Game,Sega Genesis,36.22,35.99,36.22,64.99,26.829629629629625,48.29333333333333,uplift_1.8x,APPLY
Bionicle Heroes - Gamecube Game,Gamecube,11.81,10.99,11.81,20.99,8.748148148148148,15.746666666666668,uplift_1.8x,APPLY
Black Bass - NES Game,NES,13.04,12.99,13.04,22.99,9.659259259259258,17.386666666666667,uplift_1.8x,APPLY
Blackthornes - SNES Game,SNES,67.66,66.99,67.66,120.99,50.11851851851851,90.21333333333332,uplift_1.8x,APPLY
Blades of Steel [Classic Series] - NES Game,NES,24.64,23.99,24.64,43.99,18.25185185185185,32.85333333333333,uplift_1.8x,APPLY
Blades of Thunder - GBA Game,Gameboy Advance,13.75,12.99,13.75,23.99,10.185185185185185,18.333333333333332,uplift_1.8x,APPLY
Blades of Vengeance - Sega Genesis Game,Sega Genesis,63.06,62.99,63.06,112.99,46.71111111111111,84.08,uplift_1.8x,APPLY
Blast Lacrosse - PS1 Game,Playstation,14.76,13.99,14.76,25.99,10.933333333333332,19.679999999999996,uplift_1.8x,APPLY
Blaster Master II - Sega Genesis Game,Sega Genesis,47.13,46.99,47.13,83.99,34.91111111111111,62.84,uplift_1.8x,APPLY
Blender Bros - GBA Game,Gameboy Advance,75.36,74.99,75.36,134.99,55.822222222222216,100.47999999999999,uplift_1.8x,APPLY
Blitz Overtime - PSP Game,PSP,23.57,22.99,23.57,41.99,17.45925925925926,31.426666666666666,uplift_1.8x,APPLY
Blowout - Gamecube Game,Gamecube,7.5,6.99,7.5,12.99,5.555555555555555,10.0,uplift_1.8x,APPLY
BMX Trick Racer - GBA Game,Gameboy Advance,5.37,4.99,5.37,8.99,3.9777777777777774,7.159999999999999,uplift_1.8x,APPLY
Bogey Dead 6 - PS1 Game,Playstation,10.11,9.99,10.11,17.99,7.488888888888888,13.479999999999999,uplift_1.8x,APPLY
Bomberman Party Edition - PS1 Game,Playstation,18.98,17.99,18.98,33.99,14.059259259259258,25.306666666666665,uplift_1.8x,APPLY
Bonkers - Sega Genesis Game,Sega Genesis,20.17,19.99,20.17,35.99,14.940740740740742,26.893333333333334,uplift_1.8x,APPLY
Boogerman A Pick and Flick Adventure - Sega Genesis Game,Sega Genesis,35.8,34.99,35.8,63.99,26.518518518518515,47.73333333333333,uplift_1.8x,APPLY
Bookworm - GBA Game,Gameboy Advance,20.3,19.99,20.3,35.99,15.037037037037036,27.066666666666666,uplift_1.8x,APPLY
Boombots - PS1 Game,Playstation,13.24,12.99,13.24,22.99,9.807407407407407,17.653333333333332,uplift_1.8x,APPLY
BRAHMA Force the Assault on Beltlogger 9 - PS1 Game,Playstation,18.98,17.99,18.98,33.99,14.059259259259258,25.306666666666665,uplift_1.8x,APPLY
Brain Lord - SNES Game,SNES,63.8,62.99,63.8,113.99,47.25925925925925,85.06666666666666,uplift_1.8x,APPLY
Brave Fencer Musashi - PS1 Game,Playstation,97.19,96.99,97.19,173.99,71.99259259259259,129.58666666666667,uplift_1.8x,APPLY
Brave Story New Traveler - PSP Game,PSP,47.07,46.99,47.07,83.99,34.86666666666667,62.760000000000005,uplift_1.8x,APPLY
Breath of Fire - SNES Game,SNES,65.25,64.99,65.25,116.99,48.33333333333333,87.0,uplift_1.8x,APPLY
Breath of Fire 3 - PSP Game,PSP,34.22,33.99,34.22,60.99,25.348148148148145,45.62666666666666,uplift_1.8x,APPLY
Breath of Fire II - SNES Game,SNES,123.24,122.99,123.24,220.99,91.28888888888888,164.32,uplift_1.8x,APPLY
Breeders' Cup World Thoroughbred Championships - PS2 Game,Playstation 2,6.9,5.99,6.9,11.99,5.111111111111111,9.2,uplift_1.8x,APPLY
Breeders' Cup World Thoroughbred Championships - Xbox Game,Xbox,5.25,4.99,5.25,8.99,3.888888888888889,7.0,uplift_1.8x,APPLY
Brigandine: The Legend of Forsena - PS1 Game,Playstation,115.06,114.99,115.06,206.99,85.22962962962963,153.41333333333333,uplift_1.8x,APPLY
Bubble and Squeak - Sega Genesis Game,Sega Genesis,30.07,29.99,30.07,53.99,22.274074074074072,40.093333333333334,uplift_1.8x,APPLY
Bubsy II - Sega Genesis Game,Sega Genesis,20.2,19.99,20.2,35.99,14.962962962962962,26.933333333333334,uplift_1.8x,APPLY
Buck Rogers Countdown to Doomsday - Sega Genesis Game,Sega Genesis,47.85,46.99,47.85,85.99,35.44444444444444,63.8,uplift_1.8x,APPLY
Budokan: The Martial Spirit - Sega Genesis Game,Sega Genesis,15.56,14.99,15.56,27.99,11.525925925925925,20.746666666666666,uplift_1.8x,APPLY
Bug Riders - PS1 Game,Playstation,11.34,10.99,11.34,19.99,8.399999999999999,15.119999999999997,uplift_1.8x,APPLY
Bugs Bunny Rabbit Rampage - SNES Game,SNES,14.7,13.99,14.7,25.99,10.888888888888888,19.599999999999998,uplift_1.8x,APPLY
Build 'N Race - Wii Game,Wii,8.26,7.99,8.26,13.99,6.118518518518518,11.013333333333332,uplift_1.8x,APPLY
Bujingai The Forsaken City - PS2 Game,Playstation 2,37.24,36.99,37.24,66.99,27.585185185185185,49.653333333333336,uplift_1.8x,APPLY
Bump 'n' Jump - NES Game,NES,13.4,12.99,13.4,23.99,9.925925925925926,17.866666666666667,uplift_1.8x,APPLY
Burning Force - Sega Genesis Game,Sega Genesis,54.16,53.99,54.16,96.99,40.11851851851851,72.21333333333332,uplift_1.8x,APPLY
Bust-A-Move 3000 - Gamecube Game,Gamecube,68.2,67.99,68.2,121.99,50.51851851851852,90.93333333333334,uplift_1.8x,APPLY
Bust-A-Move 99 - Nintendo 64 Game,Nintendo 64,56.0,55.99,56.0,99.99,41.48148148148148,74.66666666666667,uplift_1.8x,APPLY
Buzz Junior Jungle Party - PS2 Game,Playstation 2,13.99,12.99,13.99,15.99,9.99,12.3,pc_search,APPLY
Cabal - NES Game,NES,14.05,13.99,14.05,24.99,10.407407407407407,18.73333333333333,uplift_1.8x,APPLY
Cabela's Alaskan Adventures - PS2 Game,Playstation 2,6.97,5.99,6.97,11.99,5.162962962962962,9.293333333333331,uplift_1.8x,APPLY
Cabela's Big Game Hunter 2005 Adventures - Gamecube Game,Gamecube,11.5,10.99,11.5,19.99,8.518518518518517,15.333333333333332,uplift_1.8x,APPLY
Cabela's Deer Hunt 2005 - PS2 Game,Playstation 2,9.48,8.99,9.48,16.99,7.022222222222222,12.64,uplift_1.8x,APPLY
Cabela's Legendary Adventures - PS2 Game,Playstation 2,10.47,9.99,10.47,17.99,7.7555555555555555,13.96,uplift_1.8x,APPLY
Cabela's Legendary Adventures - PSP Game,PSP,11.2,10.99,11.2,19.99,8.296296296296296,14.933333333333334,uplift_1.8x,APPLY
Cabela's Monster Bass - PS2 Game,Playstation 2,5.68,4.99,5.68,9.99,4.207407407407407,7.573333333333333,uplift_1.8x,APPLY
Cabela's Trophy Bucks - PS2 Game,Playstation 2,8.08,7.99,8.08,13.99,5.985185185185185,10.773333333333333,uplift_1.8x,APPLY
Caesar's Palace - PS1 Game,Playstation,9.99,8.99,9.99,13.99,6.72,7.04,pc_search,APPLY
Cake Mania Baker's Challenge - PS2 Game,Playstation 2,9.33,8.99,9.33,15.99,6.9111111111111105,12.44,uplift_1.8x,APPLY
Caliber 50 - Sega Genesis Game,Sega Genesis,63.68,62.99,63.68,113.99,47.170370370370364,84.90666666666665,uplift_1.8x,APPLY
California Games - Sega Genesis Game,Sega Genesis,15.65,14.99,15.65,27.99,11.592592592592592,20.866666666666667,uplift_1.8x,APPLY
California Speed - Nintendo 64 Game,Nintendo 64,23.29,22.99,23.29,40.99,17.25185185185185,31.05333333333333,uplift_1.8x,APPLY
Canada Hunt - Wii Game,Wii,13.07,12.99,13.07,22.99,9.68148148148148,17.426666666666666,uplift_1.8x,APPLY
Captain Comic - NES Game,NES,25.24,24.99,25.24,44.99,18.696296296296293,33.65333333333333,uplift_1.8x,APPLY
CART World Series - PS1 Game,Playstation,15.03,14.99,15.03,26.99,11.133333333333333,20.04,uplift_1.8x,APPLY
Castle of Shikigami III - Wii Game,Wii,55.42,54.99,55.42,98.99,41.05185185185185,73.89333333333333,uplift_1.8x,APPLY
Castlequest - NES Game,NES,12.59,11.99,12.59,21.99,9.325925925925926,16.78666666666667,uplift_1.8x,APPLY
Centipede: Infestation - Wii Game,Wii,14.88,13.99,14.88,25.99,11.022222222222222,19.84,uplift_1.8x,APPLY
Champions World Class Soccer - Sega Genesis Game,Sega Genesis,6.8,5.99,6.8,11.99,5.037037037037036,9.066666666666666,uplift_1.8x,APPLY
Championship Bowling - NES Game,NES,7.19,6.99,7.19,11.99,5.325925925925926,9.586666666666668,uplift_1.8x,APPLY
Championship Foosball - Wii Game,Wii,7.63,6.99,7.63,12.99,5.651851851851851,10.173333333333332,uplift_1.8x,APPLY
Chess - PS1 Game,Playstation,7.99,6.99,7.99,11.99,5.76,5.81,pc_search,APPLY
Chessmaster - PSP Game,PSP,9.02,7.99,9.02,12.99,6.01,6.56,pc_search,APPLY
Chicken Blaster - Wii Game,Wii,7.99,6.99,7.99,7.99,5.88,6.05,pc_search,APPLY
Chicken Little - Gamecube Game,Gamecube,13.99,12.99,13.99,13.99,10.0,10.84,pc_search,APPLY
Chiller - NES Game,NES,147.28,146.99,147.28,264.99,109.09629629629629,196.37333333333333,uplift_1.8x,APPLY
Circus Caper - NES Game,NES,15.52,14.99,15.52,26.99,11.496296296296295,20.69333333333333,uplift_1.8x,APPLY
Clash at Demonhead - NES Game,NES,30.02,29.99,30.02,53.99,22.237037037037034,40.026666666666664,uplift_1.8x,APPLY
ClayFighter - SNES Game,SNES,25.35,24.99,25.35,44.99,18.77777777777778,33.800000000000004,uplift_1.8x,APPLY
