product,console,loose_old,loose_new,cib_old,cib_new,loose_market,cib_market,source,status
ClayFighter 2 Judgment Clay - SNES Game,SNES,25.33,24.99,25.33,44.99,18.76296296296296,33.773333333333326,uplift_1.8x,APPLY
Cleopatra's Fortune - PS1 Game,Playstation,7.32,6.99,7.32,12.99,5.4222222222222225,9.760000000000002,uplift_1.8x,APPLY
Coach K College Basketball - Sega Genesis Game,Sega Genesis,11.01,10.99,11.01,18.99,8.155555555555555,14.68,uplift_1.8x,APPLY
Cobra Command - NES Game,NES,14.4,13.99,14.4,24.99,10.666666666666666,19.2,uplift_1.8x,APPLY
Code Lyoko Quest for Infinity - PS2 Game,Playstation 2,33.36,32.99,33.36,59.99,24.71111111111111,44.48,uplift_1.8x,APPLY
Code Name Viper - NES Game,NES,13.21,12.99,13.21,22.99,9.785185185185185,17.613333333333333,uplift_1.8x,APPLY
College Football USA 96 - Sega Genesis Game,Sega Genesis,7.09,6.99,7.09,11.99,5.2518518518518515,9.453333333333333,uplift_1.8x,APPLY
College Football's National Championship II - Sega Genesis Game,Sega Genesis,7.67,6.99,7.67,12.99,5.681481481481481,10.226666666666667,uplift_1.8x,APPLY
College Hoops 2K7 - PS2 Game,Playstation 2,10.41,9.99,10.41,17.99,7.71111111111111,13.879999999999999,uplift_1.8x,APPLY
College Hoops 2K8 - PS2 Game,Playstation 2,24.61,23.99,24.61,43.99,18.229629629629628,32.81333333333333,uplift_1.8x,APPLY
College Slam - Gameboy Game,Gameboy,14.91,13.99,14.91,25.99,11.044444444444444,19.88,uplift_1.8x,APPLY
College Slam - Sega Genesis Game,Sega Genesis,8.32,7.99,8.32,13.99,6.162962962962963,11.093333333333334,uplift_1.8x,APPLY
Combat Elite W - Wii Game Paratroopers - PS2 Game,Playstation 2,11.86,10.99,11.86,20.99,8.785185185185185,15.813333333333333,uplift_1.8x,APPLY
Comix Zone - Sega Genesis Game,Sega Genesis,36.18,35.99,36.18,64.99,26.799999999999997,48.239999999999995,uplift_1.8x,APPLY
Conan the Mysteries of Time - NES Game,NES,144.54,143.99,144.54,259.99,107.06666666666665,192.71999999999997,uplift_1.8x,APPLY
Conquest of the Crystal Palace - NES Game,NES,65.37,64.99,65.37,116.99,48.422222222222224,87.16000000000001,uplift_1.8x,APPLY
Contra Adventure - PS1 Game,Playstation,47.31,46.99,47.31,84.99,35.044444444444444,63.08,uplift_1.8x,APPLY
Contra Legacy of War - Sega Saturn Game,Sega Saturn,120.0,119.99,120.0,215.99,88.88888888888889,160.0,uplift_1.8x,APPLY
Cool Boarders 2001 - PS2 Game,Playstation 2,6.25,5.99,6.25,10.99,4.62962962962963,8.333333333333334,uplift_1.8x,APPLY
Cosmo Tank - Gameboy Game,Gameboy,20.88,19.99,20.88,36.99,15.466666666666665,27.839999999999996,uplift_1.8x,APPLY
Country Dance 2 - Wii Game,Wii,10.99,9.99,10.99,14.99,7.49,7.81,pc_search,APPLY
Crash 'n' the Boys: Street Challenge - NES Game,NES,55.36,54.99,55.36,98.99,41.007407407407406,73.81333333333333,uplift_1.8x,APPLY
Crash Tag Team Racing - PSP Game,PSP,20.99,19.99,20.99,21.99,14.86,16.99,pc_search,APPLY
Crayola Colorful Journey - Wii Game,Wii,7.72,6.99,7.72,12.99,5.718518518518518,10.293333333333333,uplift_1.8x,APPLY
Crazy Frog Arcade Racer - PS2 Game,Playstation 2,17.1,16.99,17.1,29.99,12.666666666666666,22.8,uplift_1.8x,APPLY
Crimson Gem Saga - PSP Game,PSP,54.38,53.99,54.38,96.99,40.28148148148148,72.50666666666666,uplift_1.8x,APPLY
Cruis'n Exotica - Gameboy Color Game,Gameboy Color,18.01,17.99,18.01,31.99,13.340740740740742,24.013333333333335,uplift_1.8x,APPLY
Cruis'n Exotica - Nintendo 64 Game,Nintendo 64,48.91,47.99,48.91,87.99,36.22962962962963,65.21333333333334,uplift_1.8x,APPLY
Cruis'n Velocity - GBA Game,Gameboy Advance,15.23,14.99,15.23,26.99,11.281481481481482,20.30666666666667,uplift_1.8x,APPLY
Cruise Ship Vacation Games - Wii Game,Wii,8.48,7.99,8.48,14.99,6.281481481481482,11.306666666666667,uplift_1.8x,APPLY
Crushed Baseball - GBA Game,Gameboy Advance,9.82,8.99,9.82,16.99,7.274074074074074,13.093333333333334,uplift_1.8x,APPLY
Crystal Quest - Gameboy Game,Gameboy,20.23,19.99,20.23,35.99,14.985185185185184,26.973333333333333,uplift_1.8x,APPLY
Crystal's Pony Tale - Sega Genesis Game,Sega Genesis,22.61,21.99,22.61,39.99,16.748148148148147,30.146666666666665,uplift_1.8x,APPLY
Crystalis - Gameboy Color Game,Gameboy Color,48.72,47.99,48.72,86.99,36.08888888888889,64.96000000000001,uplift_1.8x,APPLY
Crystalis - NES Game,NES,28.84,27.99,28.84,50.99,21.36296296296296,38.45333333333333,uplift_1.8x,APPLY
Curious George - Gamecube Game,Gamecube,15.35,14.99,15.35,26.99,11.37037037037037,20.46666666666667,uplift_1.8x,APPLY
Cutthroat Island - Sega Genesis Game,Sega Genesis,19.49,18.99,19.49,34.99,14.437037037037035,25.986666666666665,uplift_1.8x,APPLY
Cybernator - SNES Game,SNES,40.7,39.99,40.7,72.99,30.14814814814815,54.266666666666666,uplift_1.8x,APPLY
Cyberstadium Series Base Wars - NES Game,NES,12.69,11.99,12.69,21.99,9.399999999999999,16.919999999999998,uplift_1.8x,APPLY
Cyborg Justice - Sega Genesis Game,Sega Genesis,12.01,11.99,12.01,20.99,8.896296296296295,16.013333333333332,uplift_1.8x,APPLY
Daffy Duck Marvin Missions - SNES Game,SNES,21.01,20.99,21.01,36.99,15.562962962962963,28.013333333333335,uplift_1.8x,APPLY
Daisy Fuentes Pilates - Wii Game,Wii,8.01,7.99,8.01,13.99,5.933333333333333,10.68,uplift_1.8x,APPLY
Dance Dance Revolution Extreme - PS2 Game,Playstation 2,11.99,4.99,11.99,7.99,4.25,6.41,pc_search,APPLY
Dance Dance Revolution Extreme 2 - PS2 Game,Playstation 2,11.99,10.99,11.99,12.99,8.23,9.99,pc_search,APPLY
Darius Twin - SNES Game,SNES,25.46,24.99,25.46,44.99,18.859259259259257,33.946666666666665,uplift_1.8x,APPLY
Dark Arena - GBA Game,Gameboy Advance,21.08,20.99,21.08,36.99,15.614814814814812,28.106666666666662,uplift_1.8x,APPLY
Dash Galaxy in the Alien Asylum - NES Game,NES,8.19,7.99,8.19,13.99,6.0666666666666655,10.919999999999998,uplift_1.8x,APPLY
