product,variant,type,market_price,old_price,new_price,diff,profit,status
007 Everything or Nothing - Gamecube Game,complete (cib),cib,18.25,13.16,24.99,11.83,5.72,SAFETY (90% change)
007 Everything or Nothing - Xbox Game,complete (cib),cib,9.99,24.99,13.99,-11.0,3.29,APPLIED
007 From Russia With Love - Xbox Game,game only,loose,8.99,20.99,12.99,-8.0,3.32,APPLIED
007 GoldenEye - Nintendo 64 Game,complete (cib),cib,79.0,44.99,106.99,62.0,24.59,SAFETY (138% change)
007 James Bond - Gameboy Game,complete (cib),cib,42.47,26.84,57.99,31.15,13.54,SAFETY (116% change)
007 Nightfire - Xbox Game,game only,loose,8.31,18.99,11.99,-7.0,3.03,APPLIED
007 Racing - PS1 Game,complete (cib),cib,12.67,7.58,17.99,10.41,4.5,SAFETY (137% change)
007 World Is Not Enough - Gameboy Color Game,complete (cib),cib,19.99,13.37,26.99,13.62,5.92,SAFETY (102% change)
007 World Is Not Enough - Nintendo 64 Game,complete (cib),cib,51.0,22.65,68.99,46.34,15.69,SAFETY (205% change)
10 Pin Bowling - Gameboy Color Game,complete (cib),cib,43.12,23.01,58.99,35.98,13.86,SAFETY (156% change)
10-Yard Fight - NES Game,game only,loose,7.85,5.08,10.99,5.91,2.52,SAFETY (116% change)
10-Yard Fight - NES Game,complete (cib),cib,54.97,5.08,74.99,69.91,17.55,SAFETY (1376% change)
1080 Snowboarding - Nintendo 64 Game,complete (cib),cib,52.94,17.76,71.99,54.23,16.66,SAFETY (305% change)
18 Wheeler American Pro Trucker - Gamecube Game,complete (cib),cib,13.98,9.73,18.99,9.26,4.16,SAFETY (95% change)
187 Ride or Die - Xbox Game,game only,loose,8.07,14.99,10.99,-4.0,2.3,APPLIED
187 Ride or Die - Xbox Game,complete (cib),cib,10.34,21.99,13.99,-8.0,2.94,APPLIED
1942 - NES Game,complete (cib),cib,62.99,23.13,85.99,62.86,20.21,SAFETY (272% change)
1943: The Battle of Midway - NES Game,complete (cib),cib,52.93,25.67,71.99,46.32,16.67,SAFETY (180% change)
2006 FIFA World Cup - PSP Game,game only,loose,8.73,4.8,11.99,7.19,2.61,SAFETY (150% change)
2006 FIFA World Cup - PSP Game,complete (cib),cib,9.92,4.8,13.99,9.19,3.36,SAFETY (191% change)
25 to Life - Xbox Game,game only,loose,10.55,20.99,14.99,-6.0,3.71,APPLIED
25 to Life - Xbox Game,complete (cib),cib,15.38,25.99,20.99,-5.0,4.7,APPLIED
3 Ninjas Kick Back - Sega Genesis Game,complete (cib),cib,229.5,97.83,309.99,212.16,71.2,SAFETY (217% change)
36 Great Holes Starring Fred Couples - Sega 32X Game,game only,loose,8.74,16.42,11.99,-4.43,2.6,APPLIED
36 Great Holes Starring Fred Couples - Sega 32X Game,complete (cib),cib,14.69,16.42,19.99,3.57,4.42,APPLIED
3D WorldRunner - NES Game,complete (cib),cib,49.99,14.31,67.99,53.68,15.73,SAFETY (375% change)
4 in 1 Fun Pak - Gameboy Game,complete (cib),cib,24.99,9.54,33.99,24.45,7.71,SAFETY (256% change)
4 in 1 Funpak Volume II - Gameboy Game,complete (cib),cib,17.99,7.34,24.99,17.65,5.98,SAFETY (240% change)
4 Wheel Thunder - Sega Dreamcast Game,complete (cib),cib,19.99,14.4,26.99,12.59,5.92,SAFETY (87% change)
4x4 EVO 2 - Xbox Game,game only,loose,5.99,12.99,8.99,-4.0,2.44,APPLIED
4x4 EVO 2 - Xbox Game,complete (cib),cib,7.99,17.99,10.99,-7.0,2.38,APPLIED
50 Cent Bulletproof G Unit Edition - PSP Game,complete (cib),cib,60.0,37.57,81.99,44.42,19.31,SAFETY (118% change)
6-Pak - Sega Genesis Game,complete (cib),cib,45.71,15.37,61.99,46.62,14.18,SAFETY (303% change)
688 Attack Sub - Sega Genesis Game,complete (cib),cib,13.68,9.02,18.99,9.97,4.46,SAFETY (111% change)
720 - Gameboy Color Game,complete (cib),cib,13.08,8.54,17.99,9.45,4.09,SAFETY (111% change)
720 - NES Game,game only,loose,9.0,7.03,12.99,5.96,3.31,SAFETY (85% change)
720 - NES Game,complete (cib),cib,45.0,7.03,60.99,53.96,13.92,SAFETY (768% change)
8 Eyes - NES Game,complete (cib),cib,41.56,17.4,56.99,39.59,13.48,SAFETY (228% change)
A Bug's Life - Gameboy Color Game,complete (cib),cib,19.25,6.6,25.99,19.39,5.69,SAFETY (294% change)
A Bug's Life - Nintendo 64 Game,complete (cib),cib,41.12,16.95,55.99,39.04,12.95,SAFETY (230% change)
A Dinosaur's Tale - Sega Genesis Game,complete (cib),cib,31.9,17.39,43.99,26.6,10.51,SAFETY (153% change)
A Nightmare on Elm Street - NES Game,complete (cib),cib,366.41,89.26,494.99,405.73,113.93,SAFETY (455% change)
A Sound of Thunder - GBA Game,complete (cib),cib,222.75,51.58,300.99,249.41,69.21,SAFETY (484% change)
AAAHH Real Monsters - SNES Game,complete (cib),cib,54.38,17.08,73.99,56.91,17.16,SAFETY (333% change)
Abadox - NES Game,complete (cib),cib,59.47,15.14,80.99,65.85,18.87,SAFETY (435% change)
Ace Combat 2 - PS1 Game,complete (cib),cib,41.74,25.23,56.99,31.76,13.3,SAFETY (126% change)
Ace Combat 3 Electrosphere - PS1 Game,game only,loose,26.83,20.44,36.99,16.55,8.79,SAFETY (81% change)
Ace Combat 3 Electrosphere - PS1 Game,complete (cib),cib,44.78,20.44,60.99,40.55,14.14,SAFETY (198% change)
Ace Combat Advance - GBA Game,complete (cib),cib,23.0,11.7,31.99,20.29,7.76,SAFETY (173% change)
Action Fighter - Sega Master System Game,game only,loose,8.07,14.5,10.99,-3.51,2.3,APPLIED
Action Fighter - Sega Master System Game,complete (cib),cib,17.47,14.5,23.99,9.49,5.52,APPLIED
Action Man - Gameboy Color Game,complete (cib),cib,25.0,11.59,33.99,22.4,7.7,SAFETY (193% change)
Activision Hits Remixed - PSP Game,complete (cib),cib,22.64,17.2,30.99,13.79,7.15,SAFETY (80% change)
ActRaiser - SNES Game,complete (cib),cib,149.96,60.23,202.99,142.76,46.84,SAFETY (237% change)
ActRaiser 2 - SNES Game,complete (cib),cib,139.99,49.99,188.99,139.0,43.22,SAFETY (278% change)
Addams Family - Gameboy Game,complete (cib),cib,44.53,27.62,60.99,33.37,14.39,SAFETY (121% change)
Addams Family - NES Game,complete (cib),cib,59.99,34.99,80.99,46.0,18.35,SAFETY (131% change)
Addams Family Pugsley's Scavenger Hunt - Gameboy Game,complete (cib),cib,189.9,34.77,256.99,222.22,59.34,SAFETY (639% change)
Addams Family Pugsley's Scavenger Hunt - NES Game,complete (cib),cib,208.69,108.61,281.99,173.38,64.82,SAFETY (160% change)
Addams Family Values - SNES Game,complete (cib),cib,69.01,28.99,93.99,65.0,21.95,SAFETY (224% change)
Adidas Power Soccer 98 - PS1 Game,complete (cib),cib,32.76,9.41,44.99,35.58,10.63,SAFETY (378% change)
Advance Wars - GBA Game,complete (cib),cib,99.73,55.13,134.99,79.86,31.05,SAFETY (145% change)
Advance Wars 2 - GBA Game,complete (cib),cib,60.0,44.95,81.99,37.04,19.31,SAFETY (82% change)
Advent Rising - Xbox Game,complete (cib),cib,8.84,6.3,11.99,5.69,2.5,SAFETY (90% change)
Adventure Island - NES Game,complete (cib),cib,41.29,15.02,55.99,40.97,12.78,SAFETY (273% change)
