product,variant,type,market_price,old_price,new_price,diff,profit,status
Adventure Island 3 - NES Game,complete (cib),cib,236.53,97.88,319.99,222.11,73.88,SAFETY (227% change)
Adventure Island II - Gameboy Game,complete (cib),cib,163.5,31.36,220.99,189.63,50.78,SAFETY (605% change)
Adventure Island II - NES Game,complete (cib),cib,64.13,37.42,86.99,49.57,20.04,SAFETY (132% change)
Adventures in the Magic Kingdom - NES Game,complete (cib),cib,39.48,13.67,53.99,40.32,12.64,SAFETY (295% change)
Adventures of Batman and Robin - Sega Genesis Game,complete (cib),cib,124.98,42.91,168.99,126.08,38.81,SAFETY (294% change)
Adventures of Bayou Billy - NES Game,complete (cib),cib,39.99,9.72,53.99,44.27,12.13,SAFETY (455% change)
Adventures of Dino Riki - NES Game,complete (cib),cib,43.68,14.5,58.99,44.49,13.3,SAFETY (307% change)
Adventures of Dr Franken - SNES Game,complete (cib),cib,96.67,17.4,130.99,113.59,30.22,SAFETY (653% change)
Adventures of Lolo - NES Game,complete (cib),cib,52.36,18.84,70.99,52.15,16.27,SAFETY (277% change)
Adventures of Lolo 3 - NES Game,game only,loose,14.52,108.04,19.99,-88.05,4.59,SAFETY (81% change)
Adventures of Mighty Max - Sega Genesis Game,complete (cib),cib,23.46,14.49,31.99,17.5,7.3,SAFETY (121% change)
Adventures of Willy Beamish - Sega CD Game,complete (cib),cib,52.51,28.05,70.99,42.94,16.12,SAFETY (153% change)
Adventures to Go - PSP Game,complete (cib),cib,11.0,6.53,14.99,8.46,3.26,SAFETY (130% change)
Aerial Assault - Sega Master System Game,game only,loose,31.74,13.99,42.99,29.0,9.7,SAFETY (207% change)
Aerial Assault - Sega Master System Game,complete (cib),cib,82.49,15.56,111.99,96.43,25.95,SAFETY (620% change)
Aero the Acro-Bat - Sega Genesis Game,complete (cib),cib,28.59,14.85,38.99,24.14,8.97,SAFETY (163% change)
Aero the Acro-Bat - SNES Game,complete (cib),cib,56.32,14.49,76.99,62.5,18.14,SAFETY (431% change)
Aero the Acro-Bat 2 - SNES Game,complete (cib),cib,300.71,91.9,405.99,314.09,93.21,SAFETY (342% change)
Aerofighters Assault - Nintendo 64 Game,complete (cib),cib,65.83,18.84,88.99,70.15,20.28,SAFETY (372% change)
After Burner - Sega 32X Game,game only,loose,54.99,14.99,74.99,60.0,17.53,SAFETY (400% change)
After Burner - Sega 32X Game,complete (cib),cib,91.21,33.99,123.99,90.0,28.88,SAFETY (265% change)
After Burner - Sega Master System Game,game only,loose,6.64,14.99,8.99,-6.0,1.79,APPLIED
After Burner - Sega Master System Game,complete (cib),cib,13.52,13.28,18.99,5.71,4.62,APPLIED
After Burner II - Sega Genesis Game,complete (cib),cib,24.99,18.02,33.99,15.97,7.71,SAFETY (89% change)
Agassi Tennis Generation - GBA Game,complete (cib),cib,8.95,6.76,12.99,6.23,3.36,SAFETY (92% change)
Aggressive Inline - GBA Game,complete (cib),cib,13.67,7.25,18.99,11.74,4.47,SAFETY (162% change)
Aidyn Chronicles - Nintendo 64 Game,complete (cib),cib,105.99,40.56,143.99,103.43,33.52,SAFETY (255% change)
Air Diver - Sega Genesis Game,complete (cib),cib,13.45,9.48,18.99,9.51,4.69,SAFETY (100% change)
Aladdin - Gameboy Color Game,complete (cib),cib,66.2,22.63,89.99,67.36,20.88,SAFETY (298% change)
Aladdin - Gameboy Game,complete (cib),cib,125.11,16.34,168.99,152.65,38.68,SAFETY (934% change)
Aladdin - GBA Game,complete (cib),cib,128.3,88.68,173.99,85.31,40.34,SAFETY (96% change)
Aladdin - Sega Genesis Game,complete (cib),cib,19.95,14.37,26.99,12.62,5.96,SAFETY (88% change)
Aladdin - SNES Game,complete (cib),cib,51.5,20.95,69.99,49.04,16.16,SAFETY (234% change)
Alex Kidd in Miracle World - Sega Master System Game,game only,loose,26.9,36.24,36.99,0.75,8.72,APPLIED
Alex Kidd in Miracle World - Sega Master System Game,complete (cib),cib,57.98,36.24,78.99,42.75,18.42,SAFETY (118% change)
Alex Kidd in Shinobi World - Sega Master System Game,game only,loose,64.63,137.03,87.99,-49.04,20.51,APPLIED
Alex Kidd in Shinobi World - Sega Master System Game,complete (cib),cib,162.2,137.03,218.99,81.96,50.14,APPLIED
Alex Rider Stormbreaker - GBA Game,complete (cib),cib,12.01,5.42,16.99,11.57,4.19,SAFETY (213% change)
Alf - Sega Master System Game,game only,loose,49.56,33.99,66.99,33.0,15.19,SAFETY (97% change)
Alf - Sega Master System Game,complete (cib),cib,194.58,197.99,262.99,65.0,60.48,APPLIED
Alfred Chicken - Gameboy Game,complete (cib),cib,146.13,23.19,197.99,174.8,45.82,SAFETY (754% change)
Alien 3 - SNES Game,complete (cib),cib,114.02,29.67,153.99,124.32,35.2,SAFETY (419% change)
Alien Storm - Sega Genesis Game,complete (cib),cib,59.02,36.25,79.99,43.74,18.35,SAFETY (121% change)
Alien vs Predator - SNES Game,complete (cib),cib,150.0,50.72,202.99,152.27,46.8,SAFETY (300% change)
Alienators Evolution Continues - GBA Game,game only,loose,6.03,4.22,8.99,4.77,2.4,SAFETY (113% change)
Alienators Evolution Continues - GBA Game,complete (cib),cib,23.22,4.22,31.99,27.77,7.54,SAFETY (658% change)
Aliens Thanatos Encounter - Gameboy Color Game,complete (cib),cib,193.12,47.17,260.99,213.82,60.0,SAFETY (453% change)
Aliens vs. Predator Requiem - PSP Game,complete (cib),cib,21.24,15.98,28.99,13.01,6.61,SAFETY (81% change)
All-Star Baseball 2000 - Gameboy Color Game,complete (cib),cib,16.07,7.24,21.99,14.75,4.98,SAFETY (204% change)
All-Star Baseball 2001 - Gameboy Color Game,complete (cib),cib,11.83,6.82,15.99,9.17,3.4,SAFETY (134% change)
All-Star Baseball 2003 - GBA Game,complete (cib),cib,14.3,7.24,19.99,12.75,4.81,SAFETY (176% change)
All-Star Baseball 2004 - Xbox Game,game only,loose,4.78,4.99,6.99,2.0,1.71,APPLIED
All-Star Baseball 2004 - Xbox Game,complete (cib),cib,10.65,5.18,14.99,9.81,3.61,SAFETY (189% change)
All-Star Baseball 2005 - Xbox Game,game only,loose,7.7,5.39,10.99,5.6,2.67,SAFETY (104% change)
All-Star Baseball 2005 - Xbox Game,complete (cib),cib,7.95,5.39,10.99,5.6,2.42,SAFETY (104% change)
Alleyway - Gameboy Game,complete (cib),cib,51.98,14.43,70.99,56.56,16.65,SAFETY (392% change)
Alone In The Dark The New Nightmare - Gameboy Color Game,complete (cib),cib,60.0,36.76,81.99,45.23,19.31,SAFETY (123% change)
Altered Beast Guardian of the Realms - GBA Game,complete (cib),cib,80.99,26.11,109.99,83.88,25.51,SAFETY (321% change)
Altered Space - Gameboy Game,complete (cib),cib,147.43,21.55,199.99,178.44,46.46,SAFETY (828% change)
Amazing Spiderman - Gameboy Game,complete (cib),cib,58.0,18.13,78.99,60.86,18.4,SAFETY (336% change)
American Chopper 2 Full Throttle - Xbox Game,game only,loose,3.67,6.99,4.99,-2.0,0.88,APPLIED
American Dragon Jake Long Rise of the Huntsclan - GBA Game,complete (cib),cib,30.02,8.24,40.99,32.75,9.48,SAFETY (397% change)
Animal Snap - GBA Game,complete (cib),cib,12.99,7.32,17.99,10.67,4.18,SAFETY (146% change)
Animaniacs - Sega Genesis Game,complete (cib),cib,22.39,16.56,30.99,14.43,7.4,SAFETY (87% change)
Animaniacs - SNES Game,complete (cib),cib,50.0,15.91,67.99,52.08,15.72,SAFETY (327% change)
Antz - Gameboy Color Game,complete (cib),cib,13.5,9.96,18.99,9.03,4.64,SAFETY (91% change)
Antz Racing - Gameboy Color Game,complete (cib),cib,35.0,10.08,47.99,37.91,11.3,SAFETY (376% change)
Aquatic Games Starring James Pond - Sega Genesis Game,complete (cib),cib,25.04,11.59,33.99,22.4,7.66,SAFETY (193% change)
Armori - NES Game Project SWARM - Gameboy Color Game,complete (cib),cib,19.05,11.95,25.99,14.04,5.89,SAFETY (117% change)
Armori - NES Game Project SWARM - Nintendo 64 Game,complete (cib),cib,55.42,17.84,74.99,57.15,17.1,SAFETY (320% change)
Army Men - Gameboy Color Game,game only,loose,14.13,10.83,19.99,9.16,4.98,SAFETY (85% change)
Army Men - Gameboy Color Game,complete (cib),cib,32.12,10.83,43.99,33.16,10.29,SAFETY (306% change)
Army Men 2 - Gameboy Color Game,complete (cib),cib,19.93,10.59,26.99,16.4,5.98,SAFETY (155% change)
Army Men Air Combat - Gameboy Color Game,complete (cib),cib,22.81,13.41,30.99,17.58,6.98,SAFETY (131% change)
Army Men Air Combat Elite Missions - Gamecube Game,complete (cib),cib,29.21,18.6,39.99,21.39,9.32,SAFETY (115% change)
Army Men Operation Green - GBA Game,complete (cib),cib,66.22,26.09,89.99,63.9,20.86,SAFETY (245% change)
Army Men Sarge's Heroes - Nintendo 64 Game,complete (cib),cib,52.94,25.65,71.99,46.34,16.66,SAFETY (181% change)
Army Men Sarge's Heroes 2 - Gameboy Color Game,complete (cib),cib,23.85,10.86,32.99,22.13,7.88,SAFETY (204% change)
Army Men Sarge's Heroes 2 - Nintendo 64 Game,game only,loose,16.49,14.99,22.99,8.0,5.53,APPLIED
Army Men Sarge's Heroes 2 - Nintendo 64 Game,complete (cib),cib,52.94,33.38,71.99,38.61,16.66,SAFETY (116% change)
Army Men Sarge's War - Xbox Game,game only,loose,7.99,15.99,10.99,-5.0,2.38,APPLIED
Army Men Sarge's War - Xbox Game,complete (cib),cib,13.37,20.99,18.99,-2.0,4.77,APPLIED
Army Men Turf Wars - GBA Game,complete (cib),cib,88.21,27.8,119.99,92.19,28.0,SAFETY (332% change)
Assault City - Sega Master System Game,game only,loose,35.0,50.74,47.99,-2.75,11.3,APPLIED
Assault City - Sega Master System Game,complete (cib),cib,102.14,50.74,137.99,87.25,31.55,SAFETY (172% change)
Astal - Sega Saturn Game,complete (cib),cib,101.88,75.76,137.99,62.23,31.81,SAFETY (82% change)
Asterix - Sega Master System Game,game only,loose,29.99,42.86,40.99,-1.87,9.51,APPLIED
Asterix - Sega Master System Game,complete (cib),cib,40.0,69.99,54.99,-15.0,13.1,APPLIED
Asterix and the Great Rescue - Sega Master System Game,game only,loose,46.99,7.99,63.99,56.0,14.84,SAFETY (701% change)
Asterix and the Great Rescue - Sega Master System Game,complete (cib),cib,185.29,34.93,250.99,216.06,58.12,SAFETY (619% change)
Asteroids - Gameboy Color Game,complete (cib),cib,28.45,11.76,38.99,27.23,9.11,SAFETY (232% change)
Astro Warrior - Sega Master System Game,game only,loose,11.29,21.74,15.99,-5.75,3.94,APPLIED
Astro Warrior - Sega Master System Game,complete (cib),cib,24.37,21.74,32.99,11.25,7.36,APPLIED
Atari Anniversary Advance - GBA Game,complete (cib),cib,24.95,14.75,33.99,19.24,7.75,SAFETY (130% change)
Atari Anniversary Edition - Sega Dreamcast Game,complete (cib),cib,13.99,9.58,18.99,9.41,4.15,SAFETY (98% change)
Atlantis The Lost Empire - Gameboy Color Game,complete (cib),cib,37.41,11.86,50.99,39.13,11.8,SAFETY (330% change)
Atomic Betty - GBA Game,complete (cib),cib,29.2,18.68,39.99,21.31,9.33,SAFETY (114% change)
Austin Powers Oh Behave - Gameboy Color Game,complete (cib),cib,38.0,21.01,51.99,30.98,12.18,SAFETY (147% change)
Austin Powers Welcome to my Underground Lair - Gameboy Color Game,complete (cib),cib,30.96,14.99,41.99,27.0,9.51,SAFETY (180% change)
Auto Modellista - Gamecube Game,complete (cib),cib,140.5,103.83,189.99,86.16,43.68,SAFETY (83% change)
Aztec Adventure - Sega Master System Game,game only,loose,12.83,19.99,17.99,-2.0,4.34,APPLIED
Aztec Adventure - Sega Master System Game,complete (cib),cib,19.49,14.5,26.99,12.49,6.42,SAFETY (86% change)
Bad Boys Miami Takedown - Gamecube Game,complete (cib),cib,20.99,14.71,28.99,14.28,6.86,SAFETY (97% change)
Baseball - Gameboy Game,complete (cib),cib,90.2,10.35,121.99,111.64,27.95,SAFETY (1079% change)
Bassmasters Classic - Gameboy Color Game,complete (cib),cib,16.66,8.89,22.99,14.1,5.36,SAFETY (159% change)
Battle Stations - Sega Saturn Game,complete (cib),cib,19.99,13.58,26.99,13.41,5.92,SAFETY (99% change)
Battleship - Gameboy Color Game,complete (cib),cib,16.99,12.37,22.99,10.62,5.03,SAFETY (86% change)
Battletanx - Gameboy Color Game,complete (cib),cib,36.0,14.08,48.99,34.91,11.27,SAFETY (248% change)
Beauty and the Beast A Board Game Adventure - Gameboy Color Game,complete (cib),cib,19.95,11.05,26.99,15.94,5.96,SAFETY (144% change)
Billy Bobs Huntin-n-Fishin - Gameboy Color Game,complete (cib),cib,24.99,7.25,33.99,26.74,7.71,SAFETY (369% change)
Bionic Commando Elite Forces - Gameboy Color Game,complete (cib),cib,76.91,28.99,103.99,75.0,23.76,SAFETY (259% change)
Black Belt - Sega Master System Game,game only,loose,10.99,18.13,14.99,-3.14,3.27,APPLIED
Black Belt - Sega Master System Game,complete (cib),cib,20.37,18.13,27.99,9.86,6.51,APPLIED
Black Hole Assault - Sega CD Game,complete (cib),cib,57.66,19.34,77.99,58.65,17.77,SAFETY (303% change)
Blast Chamber - Sega Saturn Game,complete (cib),cib,25.69,19.2,34.99,15.79,7.99,SAFETY (82% change)
Bomber Raid - Sega Master System Game,game only,loose,14.99,21.75,20.99,-0.76,5.09,APPLIED
Bomber Raid - Sega Master System Game,complete (cib),cib,27.37,21.75,36.99,15.24,8.25,APPLIED
Brutal: Above the Claw - Sega 32X Game,game only,loose,49.25,107.98,66.99,-40.99,15.5,APPLIED
Brutal: Above the Claw - Sega 32X Game,complete (cib),cib,99.99,107.98,134.99,27.01,30.79,APPLIED
California Games - Sega Master System Game,game only,loose,11.38,21.75,15.99,-5.76,3.85,APPLIED
California Games - Sega Master System Game,complete (cib),cib,19.99,21.75,26.99,5.24,5.92,APPLIED
Captain Silver - Sega Master System Game,game only,loose,21.16,32.18,28.99,-3.19,6.69,APPLIED
Captain Silver - Sega Master System Game,complete (cib),cib,32.2,32.18,43.99,11.81,10.21,APPLIED
Casino Games - Sega Master System Game,game only,loose,10.96,16.49,14.99,-1.5,3.3,APPLIED
Casino Games - Sega Master System Game,complete (cib),cib,14.7,16.49,19.99,3.5,4.41,APPLIED
Castle of Illusion - Sega Master System Game,game only,loose,25.1,26.99,33.99,7.0,7.6,APPLIED
Castle of Illusion - Sega Master System Game,complete (cib),cib,59.42,71.99,80.99,9.0,18.92,APPLIED
Championship Surfer - Sega Dreamcast Game,complete (cib),cib,11.65,6.13,15.99,9.86,3.58,SAFETY (161% change)
Charge N' Blast - Sega Dreamcast Game,complete (cib),cib,31.99,20.11,43.99,23.88,10.42,SAFETY (119% change)
Chicken Run - Sega Dreamcast Game,complete (cib),cib,21.59,15.98,29.99,14.01,7.23,SAFETY (88% change)
Cliffhanger - Sega CD Game,complete (cib),cib,22.37,11.22,30.99,19.77,7.42,SAFETY (176% change)
Cloud Master - Sega Master System Game,game only,loose,14.13,31.65,19.99,-11.66,4.98,APPLIED
Cloud Master - Sega Master System Game,complete (cib),cib,37.69,31.65,50.99,19.34,11.52,APPLIED
Cobra Command - Sega CD Game,complete (cib),cib,39.53,23.1,53.99,30.89,12.59,SAFETY (134% change)
Columns - Sega Master System Game,game only,loose,12.16,9.99,16.99,7.0,4.04,APPLIED
Columns - Sega Master System Game,complete (cib),cib,23.52,21.75,31.99,10.24,7.24,APPLIED
Corpse Killer - Sega 32X Game,game only,loose,14.38,27.99,19.99,-8.0,4.73,APPLIED
Corpse Killer - Sega 32X Game,complete (cib),cib,44.95,43.99,60.99,17.0,13.97,APPLIED
Cosmic Carnage - Sega 32X Game,game only,loose,15.37,23.25,20.99,-2.26,4.71,APPLIED
Cosmic Carnage - Sega 32X Game,complete (cib),cib,29.27,23.25,39.99,16.74,9.26,APPLIED
Cyborg Hunter - Sega Master System Game,game only,loose,14.0,26.88,18.99,-7.89,4.14,APPLIED
Cyborg Hunter - Sega Master System Game,complete (cib),cib,29.99,26.88,40.99,14.11,9.51,APPLIED
Daytona USA - Sega Saturn Game,complete (cib),cib,40.91,18.37,55.99,37.62,13.16,SAFETY (205% change)
Deep Duck Trouble - Sega Master System Game,game only,loose,42.99,91.58,58.99,-32.59,13.99,APPLIED
Deep Duck Trouble - Sega Master System Game,complete (cib),cib,125.57,91.58,169.99,78.41,39.19,SAFETY (86% change)
Dick Tracy - Sega Master System Game,game only,loose,48.11,37.03,64.99,27.96,14.7,APPLIED
Dick Tracy - Sega Master System Game,complete (cib),cib,164.99,37.03,222.99,185.96,51.23,SAFETY (502% change)
Doom - Sega 32X Game,game only,loose,13.0,36.62,17.99,-18.63,4.17,APPLIED
Doom - Sega 32X Game,complete (cib),cib,29.08,36.62,39.99,3.37,9.45,APPLIED
Double Dragon - Sega Master System Game,game only,loose,12.0,19.23,16.99,-2.24,4.2,APPLIED
Double Dragon - Sega Master System Game,complete (cib),cib,20.36,19.23,27.99,8.76,6.52,APPLIED
E-SWAT - Sega Master System Game,game only,loose,28.77,61.61,38.99,-22.62,8.79,APPLIED
E-SWAT - Sega Master System Game,complete (cib),cib,73.0,61.61,98.99,37.38,22.82,APPLIED
Enduro Racer - Sega Master System Game,game only,loose,10.11,22.88,13.99,-8.89,3.17,APPLIED
Enduro Racer - Sega Master System Game,complete (cib),cib,21.66,22.88,29.99,7.11,7.16,APPLIED
Extreme G - Nintendo 64 Game,game only,loose,359.99,14.14,485.99,471.85,111.61,SAFETY (3337% change)
F-16 Fighting Falcon - Sega Master System Game,game only,loose,11.49,33.99,15.99,-18.0,3.74,APPLIED
F-16 Fighting Falcon - Sega Master System Game,complete (cib),cib,16.84,21.74,22.99,1.25,5.18,APPLIED
Fantasy Zone - Sega Master System Game,game only,loose,19.99,56.99,26.99,-30.0,5.92,APPLIED
Fantasy Zone - Sega Master System Game,complete (cib),cib,44.45,43.38,60.99,17.61,14.47,APPLIED
Fantasy Zone II - Sega Master System Game,game only,loose,25.21,56.99,34.99,-22.0,8.47,APPLIED
Fantasy Zone II - Sega Master System Game,complete (cib),cib,57.5,43.28,77.99,34.71,17.93,SAFETY (80% change)
Fantasy Zone the Maze - Sega Master System Game,game only,loose,19.99,31.04,26.99,-4.05,5.92,APPLIED
Fantasy Zone the Maze - Sega Master System Game,complete (cib),cib,44.45,31.04,60.99,29.95,14.47,SAFETY (96% change)
Gran Turismo 3 - PS2 Game,complete (cib),cib,13.0,7.89,17.99,10.1,4.17,SAFETY (128% change)
Hang-On and Astro Warrior - Sega Master System Game,game only,loose,11.29,19.36,15.99,-3.37,3.94,APPLIED
Hang-On and Astro Warrior - Sega Master System Game,complete (cib),cib,24.37,19.36,32.99,13.63,7.36,APPLIED
Hook - Sega CD Game,complete (cib),cib,119.99,36.0,161.99,125.99,37.0,SAFETY (350% change)
James Pond - Sega Genesis Game,complete (cib),cib,25.04,16.59,33.99,17.4,7.66,SAFETY (105% change)
Killer 3D Pool - GBA Game,complete (cib),cib,8.59,5.31,11.99,6.68,2.75,SAFETY (126% change)
Metal Head - Sega 32X Game,game only,loose,14.86,23.98,20.99,-2.99,5.22,APPLIED
Metal Head - Sega 32X Game,complete (cib),cib,30.14,23.98,40.99,17.01,9.36,APPLIED
Mortal Kombat II - Sega 32X Game,game only,loose,35.41,73.44,47.99,-25.45,10.89,APPLIED
Mortal Kombat II - Sega 32X Game,complete (cib),cib,78.45,73.44,105.99,32.55,24.17,APPLIED
Motocross Championship - Sega 32X Game,game only,loose,13.09,20.42,17.99,-2.43,4.08,APPLIED
Motocross Championship - Sega 32X Game,complete (cib),cib,24.48,20.42,33.99,13.57,8.22,APPLIED
NBA Jam Tournament Edition - Sega 32X Game,game only,loose,45.17,72.0,60.99,-11.01,13.75,APPLIED
NBA Jam Tournament Edition - Sega 32X Game,complete (cib),cib,70.99,72.0,95.99,23.99,21.92,APPLIED
Night Trap - Sega 32X Game,game only,loose,32.5,134.37,43.99,-90.38,9.91,APPLIED
Night Trap - Sega 32X Game,complete (cib),cib,101.04,134.37,136.99,2.62,31.68,APPLIED
Nights into Dreams - Sega Saturn Game,game only,loose,52.5,34.16,70.99,36.83,16.13,SAFETY (108% change)
Nights into Dreams - Sega Saturn Game,complete (cib),cib,83.97,34.16,113.99,79.83,26.41,SAFETY (234% change)
Primal Rage - Sega 32X Game,game only,loose,48.27,103.5,65.99,-37.51,15.51,APPLIED
Primal Rage - Sega 32X Game,complete (cib),cib,115.0,103.5,155.99,52.49,36.17,APPLIED
RBI Baseball 95 - Sega 32X Game,game only,loose,39.99,79.2,53.99,-25.21,12.13,APPLIED
