product,console,loose_old,loose_new,cib_old,cib_new,loose_market,cib_market,source,status
1943: The Battle of Midway - NES Game,NES,25.67,24.99,25.67,45.99,19.014814814814816,34.22666666666667,uplift_1.8x,PREVIEW
7 Wonders of the Ancient World - PS2 Game,Playstation 2,13.99,12.99,13.99,17.99,9.87,9.99,pc_search,PREVIEW
720 - NES Game,NES,7.03,6.99,7.03,11.99,5.207407407407407,9.373333333333333,uplift_1.8x,PREVIEW
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,17.39,16.99,17.39,30.99,12.881481481481481,23.186666666666667,uplift_1.8x,PREVIEW
Academy of Champions Soccer - Wii Game,Wii,8.99,8.99,8.99,15.99,6.659259259259259,11.986666666666666,uplift_1.8x,PREVIEW
Action Girlz Racing - Wii Game,Wii,6.99,5.99,6.99,10.99,4.59,5.0,pc_search,PREVIEW
Activision Anthology - PS2 Game,Playstation 2,12.99,11.99,12.99,12.99,9.0,9.82,pc_search,PREVIEW
AFL Premiership 2006 - PS2 Game,Playstation 2,113.98,112.99,113.98,204.99,84.42962962962963,151.97333333333333,uplift_1.8x,PREVIEW
Agatha Christie Evil Under the Sun - Wii Game,Wii,12.99,11.99,12.99,16.99,9.0,9.07,pc_search,PREVIEW
Air Diver - Sega Genesis Game,Sega Genesis,9.48,8.99,9.48,16.99,7.022222222222222,12.64,uplift_1.8x,PREVIEW
