product,console,variant,type,market_price,old_price,new_price,diff,profit,status
1943: The Battle of Midway - NES Game,NES,,,,,,,,NO_MATCH
720 - NES Game,NES,,,,,,,,NO_MATCH
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
AFL Premiership 2006 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Air Conflicts - PSP Game,PSP,,,,,,,,NO_MATCH
Air Diver - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Alien 3 - SNES Game,SNES,,,,,,,,NO_MATCH
Alien Monster Bowling League - Wii Game,Wii,,,,,,,,NO_MATCH
All-Star Baseball 2003 - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
All-Star Baseball 2005 - Xbox Game,Xbox,,,,,,,,NO_MATCH
Alvin And The Chipmunks The Game - Wii Game,Wii,,,,,,,,NO_MATCH
Animal Kingdom: Wildlife Expedition - Wii Game,Wii,,,,,,,,NO_MATCH
Animaniacs Ten Pin Alley - PS1 Game,Playstation,,,,,,,,NO_MATCH
Animorphs Shattered Reality - PS1 Game,Playstation,,,,,,,,NO_MATCH
Arc The Lad Collection - PS1 Game,Playstation,game only,loose,68.54,132.98,92.99,-39.99,21.45,APPLIED
Arc The Lad Collection - PS1 Game,Playstation,complete (cib),cib,167.48,238.99,226.99,-12.00,52.63,APPLIED
Arcade's Greatest Hits Atari Collection 1 - PS1 Game,Playstation,game only,loose,5.87,11.31,7.99,-3.32,1.59,APPLIED
Arcade's Greatest Hits Atari Collection 1 - PS1 Game,Playstation,complete (cib),cib,8.89,19.99,12.99,-7.00,3.42,APPLIED
Archon - NES Game,NES,,,,,,,,NO_MATCH
Are You Smarter Than A 5th Grader? Make the Grade - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Arena Football Road to Glory - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Army Men World War Land Sea Air - PS1 Game,Playstation,,,,,,,,NO_MATCH
Art Alive - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Assault Retribution - PS1 Game,Playstation,,,,,,,,NO_MATCH
Astro Boy: The Video Game - Wii Game,Wii,game only,loose,4.89,8.98,6.99,-1.99,1.60,APPLIED
Astro Boy: The Video Game - Wii Game,Wii,complete (cib),cib,6.22,15.99,8.99,-7.00,2.21,APPLIED
Atomic Robo-Kid - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Axelay - SNES Game,SNES,,,,,,,,NO_MATCH
Baby Boomer - NES Game,NES,,,,,,,,NO_MATCH
Back to the Future II and III - NES Game,NES,game only,loose,21.57,26.65,29.99,3.34,7.25,APPLIED
Back to the Future II and III - NES Game,NES,complete (cib),cib,121.01,46.99,163.99,117.00,37.92,APPLIED
Backstreet Billiards - PS1 Game,Playstation,,,,,,,,NO_MATCH
Backyard Baseball '10 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Backyard Football 08 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Backyard Football 2006 - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
Backyard Football 2006 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Backyard Hockey - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
Bad Boys Miami Takedown - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Bad News Baseball - NES Game,NES,,,,,,,,NO_MATCH
Bad Street Brawler - NES Game,NES,,,,,,,,NO_MATCH
Bandai Golf Challenge Pebble Beach - NES Game,NES,,,,,,,,NO_MATCH
Barbie Gotta Have Games - PS1 Game,Playstation,,,,,,,,NO_MATCH
Barbie Horse Adventures Wild Horse Rescue - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
