product,console,variant,type,source,market_price,old_price,new_price,diff,profit,status,notes
Abadox - NES Game,NES,game only,loose,ebay(48),17.40,22.99,23.99,1.00,5.59,PREVIEW,
Abadox - NES Game,NES,complete (cib),cib,ebay(5),67.99,40.99,91.99,51.00,21.03,PREVIEW,
Academy of Champions Soccer - Wii Game,Wii,game only,loose,pc,6.43,8.99,8.99,0.00,2.00,NO_CHANGE,
Academy of Champions Soccer - Wii Game,Wii,complete (cib),cib,pc,6.67,15.99,9.99,-6.00,2.73,PREVIEW,
Active Life: Extreme Challenge - Wii Game,Wii,game only,loose,pc,5.83,7.99,7.99,0.00,1.63,NO_CHANGE,
Active Life: Extreme Challenge - Wii Game,Wii,complete (cib),cib,pc,6.95,9.99,9.99,0.00,2.45,NO_CHANGE,
ActRaiser - SNES Game,SNES,game only,loose,ebay(37),18.33,62.99,24.99,-38.00,5.64,PREVIEW,
ActRaiser 2 - SNES Game,SNES,game only,loose,ebay(53),42.50,54.99,57.99,3.00,13.51,PREVIEW,
ActRaiser 2 - SNES Game,SNES,complete (cib),cib,ebay(16),127.50,97.99,172.99,75.00,40.17,PREVIEW,
Adidas Power Soccer 98 - PS1 Game,Playstation,game only,loose,pc,6.19,9.41,8.99,-0.42,2.24,NO_CHANGE,
Adidas Power Soccer 98 - PS1 Game,Playstation,complete (cib),cib,pc,32.76,44.99,44.99,0.00,10.63,NO_CHANGE,
Adventure Island 3 - NES Game,NES,game only,loose,ebay(44),52.88,108.99,71.99,-37.00,16.72,PREVIEW,
Adventure Island 3 - NES Game,NES,complete (cib),cib,ebay(4),225.24,195.99,304.99,109.00,70.61,PREVIEW,
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,game only,loose,pc,29.37,39.99,39.99,0.00,9.16,NO_CHANGE,
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,complete (cib),cib,pc,125.00,168.99,168.99,0.00,38.79,NO_CHANGE,
Adventures of Dino Riki - NES Game,NES,game only,loose,ebay(81),12.74,16.99,17.99,1.00,4.43,PREVIEW,
Adventures of Dr Franken - SNES Game,SNES,game only,loose,ebay(37),19.54,20.99,26.99,6.00,6.37,PREVIEW,
Adventures to Go - PSP Game,PSP,game only,loose,pc,9.47,12.99,12.99,0.00,2.84,NO_CHANGE,
Adventures to Go - PSP Game,PSP,complete (cib),cib,pc,11.00,14.99,14.99,0.00,3.26,NO_CHANGE,
Aero the Acro-Bat - SNES Game,SNES,game only,loose,ebay(61),12.75,16.99,17.99,1.00,4.42,PREVIEW,
Aero the Acro-Bat - SNES Game,SNES,complete (cib),cib,ebay(4),31.41,29.99,42.99,13.00,10.03,PREVIEW,
Aero the Acro-Bat 2 - SNES Game,SNES,game only,loose,ebay(31),55.27,93.99,74.99,-19.00,17.25,PREVIEW,
Aero the Acro-Bat 2 - SNES Game,SNES,complete (cib),cib,ebay(6),254.96,168.99,344.99,176.00,79.73,PREVIEW,
AFL Premiership 2006 - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Air Conflicts - PSP Game,PSP,,,,,,,,,NO_MATCH,PC and eBay both failed
Air Diver - Sega Genesis Game,Sega Genesis,game only,loose,ebay(30),9.18,9.48,12.99,3.51,3.13,PREVIEW,
Air Diver - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(12),19.12,16.99,25.99,9.00,5.82,PREVIEW,
Aladdin - SNES Game,SNES,game only,loose,ebay(62),9.05,21.99,12.99,-9.00,3.26,PREVIEW,
Alien 3 - SNES Game,SNES,game only,loose,ebay(70),15.06,29.67,20.99,-8.68,5.02,PREVIEW,
Alien Monster Bowling League - Wii Game,Wii,game only,loose,ebay(23),11.04,9.08,14.99,5.91,3.22,PREVIEW,
Alien Monster Bowling League - Wii Game,Wii,complete (cib),cib,ebay(11),12.71,10.99,17.99,7.00,4.46,PREVIEW,
All-Star Baseball 2000 - Gameboy Color Game,Gameboy Color,game only,loose,pc,5.37,7.99,7.99,0.00,2.09,NO_CHANGE,
All-Star Baseball 2000 - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,15.97,21.99,21.99,0.00,5.08,NO_CHANGE,
All-Star Baseball 2001 - Gameboy Color Game,Gameboy Color,game only,loose,ebay(24),8.92,8.99,12.99,4.00,3.39,PREVIEW,
All-Star Baseball 2003 - GBA Game,Gameboy Advance,game only,loose,ebay(20),7.22,7.24,9.99,2.75,2.18,PREVIEW,
All-Star Baseball 2004 - Xbox Game,Xbox,game only,loose,ebay(48),5.95,6.99,8.99,2.00,2.48,PREVIEW,
All-Star Baseball 2004 - Xbox Game,Xbox,complete (cib),cib,ebay(16),8.49,11.99,11.99,0.00,2.85,NO_CHANGE,
All-Star Baseball 2005 - PS2 Game,Playstation 2,game only,loose,ebay(68),5.37,10.99,7.99,-3.00,2.09,PREVIEW,
All-Star Baseball 2005 - PS2 Game,Playstation 2,complete (cib),cib,ebay(13),5.94,18.99,8.99,-10.00,2.49,PREVIEW,
All-Star Baseball 2005 - Xbox Game,Xbox,game only,loose,ebay(59),5.95,5.39,8.99,3.60,2.48,PREVIEW,
All-Star Baseball 2005 - Xbox Game,Xbox,complete (cib),cib,ebay(22),5.10,8.99,6.99,-2.00,1.39,PREVIEW,
Alleyway - Gameboy Game,Gameboy,game only,loose,pc,10.06,14.43,13.99,-0.44,3.22,NO_CHANGE,
Alleyway - Gameboy Game,Gameboy,complete (cib),cib,pc,51.98,70.99,70.99,0.00,16.65,NO_CHANGE,
Alone in the Dark - Wii Game,Wii,game only,loose,pc,5.58,7.63,7.99,0.36,1.88,NO_CHANGE,
Alone in the Dark - Wii Game,Wii,complete (cib),cib,pc,8.74,11.99,11.99,0.00,2.60,NO_CHANGE,
Alone In The Dark The New Nightmare - Gameboy Color Game,Gameboy Color,game only,loose,pc,33.02,44.99,44.99,0.00,10.37,NO_CHANGE,
Alone In The Dark The New Nightmare - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,60.00,79.99,81.99,2.00,19.31,PREVIEW,
