product,console,variant,type,source,market_price,old_price,new_price,diff,profit,status,notes
007 GoldenEye - Wii Game,Wii,game only,loose,pc,10.09,14.38,13.99,-0.39,3.19,NO_CHANGE,
007 GoldenEye - Wii Game,Wii,complete (cib),cib,pc,12.40,16.99,16.99,0.00,3.80,NO_CHANGE,
007 Quantum of Solace - Wii Game,Wii,game only,loose,pc,5.34,8.30,7.99,-0.31,2.12,NO_CHANGE,
007 Quantum of Solace - Wii Game,Wii,complete (cib),cib,pc,8.18,11.99,11.99,0.00,3.16,NO_CHANGE,
102 Dalmatians Puppies to the Rescue - PS1 Game,Playstation,game only,loose,pc,13.50,18.98,18.99,0.01,4.64,NO_CHANGE,
102 Dalmatians Puppies to the Rescue - PS1 Game,Playstation,complete (cib),cib,pc,18.05,24.99,24.99,0.00,5.92,NO_CHANGE,
1943: The Battle of Midway - NES Game,NES,game only,loose,ebay(66),19.84,25.67,26.99,1.32,6.07,PREVIEW,
1943: The Battle of Midway - NES Game,NES,complete (cib),cib,ebay(6),57.35,45.99,77.99,32.00,18.08,PREVIEW,
2Xtreme - PS1 Game,Playstation,game only,loose,pc,4.45,6.99,6.99,0.00,2.04,NO_CHANGE,
2Xtreme - PS1 Game,Playstation,complete (cib),cib,pc,6.37,8.99,8.99,0.00,2.06,NO_CHANGE,
4 in 1 Fun Pak - Gameboy Game,Gameboy,game only,loose,pc,7.29,9.54,9.99,0.45,2.11,NO_CHANGE,
4 in 1 Fun Pak - Gameboy Game,Gameboy,complete (cib),cib,pc,24.99,33.99,33.99,0.00,7.71,NO_CHANGE,
688 Attack Sub - Sega Genesis Game,Sega Genesis,game only,loose,ebay(43),11.90,11.99,16.99,5.00,4.30,PREVIEW,
688 Attack Sub - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(15),15.29,20.99,20.99,0.00,4.79,NO_CHANGE,
720 - Gameboy Color Game,Gameboy Color,game only,loose,pc,6.25,8.54,8.99,0.45,2.18,NO_CHANGE,
720 - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,13.08,17.99,17.99,0.00,4.09,NO_CHANGE,
720 - NES Game,NES,game only,loose,ebay(79),8.49,7.03,11.99,4.96,2.85,PREVIEW,
8 Eyes - NES Game,NES,game only,loose,ebay(68),17.00,20.99,22.99,2.00,5.02,PREVIEW,
8 Eyes - NES Game,NES,complete (cib),cib,ebay(7),40.80,36.99,55.99,19.00,13.27,PREVIEW,
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,game only,loose,ebay(15),15.29,17.39,20.99,3.60,4.79,PREVIEW,
AAAHH Real Monsters - SNES Game,SNES,game only,loose,ebay(84),11.90,18.99,16.99,-2.00,4.30,PREVIEW,
