product,console,variant,type,market_price,old_price,new_price,diff,profit,status
A/X-101 - Sega CD Game,Sega CD,,,,,,,,NO_MATCH
AAAHH Real Monsters - SNES Game,SNES,,,,,,,,NO_MATCH
Abadox - NES Game,NES,,,,,,,,NO_MATCH
AC/DC Live Rock Band Track Pack - PS2 Game,Playstation 2,complete (cib),cib,6.73,8.99,9.99,1.00,2.67,APPLIED
Academy of Champions Soccer - Wii Game,Wii,,,,,,,,NO_MATCH
Ace Combat 2 - PS1 Game,Playstation,game only,loose,38.49,36.99,51.99,15.00,11.69,APPLIED
Ace Combat 2 - PS1 Game,Playstation,complete (cib),cib,45.81,25.23,61.99,36.76,14.08,APPLIED
Ace Combat 3 Electrosphere - PS1 Game,Playstation,game only,loose,26.83,20.44,36.99,16.55,8.79,APPLIED
Ace Combat 3 Electrosphere - PS1 Game,Playstation,complete (cib),cib,44.78,20.44,60.99,40.55,14.14,APPLIED
Ace Combat Advance - GBA Game,Gameboy Advance,complete (cib),cib,23.00,11.70,31.99,20.29,7.76,APPLIED
Action Fighter - Sega Master System Game,Sega Master System,game only,loose,8.07,14.50,10.99,-3.51,2.30,APPLIED
Action Fighter - Sega Master System Game,Sega Master System,complete (cib),cib,17.47,14.50,23.99,9.49,5.52,APPLIED
Action Man - Gameboy Color Game,Gameboy Color,complete (cib),cib,25.00,11.59,33.99,22.40,7.70,APPLIED
Active Life Magical Carnival - Wii Game,Wii,game only,loose,12.27,9.99,16.99,7.00,3.93,APPLIED
Active Life Magical Carnival - Wii Game,Wii,complete (cib),cib,20.00,13.99,27.99,14.00,6.88,APPLIED
Active Life: Extreme Challenge - Wii Game,Wii,,,,,,,,NO_MATCH
Activision Anthology - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
Activision Anthology - PS2 Game,Playstation 2,game only,loose,9.00,11.25,12.99,1.74,3.31,APPLIED
Activision Anthology - PS2 Game,Playstation 2,complete (cib),cib,9.10,11.25,12.99,1.74,3.21,APPLIED
Activision Hits Remixed - PSP Game,PSP,complete (cib),cib,22.64,17.20,30.99,13.79,7.15,APPLIED
ActRaiser - SNES Game,SNES,,,,,,,,NO_MATCH
ActRaiser 2 - SNES Game,SNES,,,,,,,,NO_MATCH
Addams Family - Gameboy Game,Gameboy,complete (cib),cib,44.53,27.62,60.99,33.37,14.39,APPLIED
Addams Family - NES Game,NES,complete (cib),cib,59.99,34.99,80.99,46.00,18.35,APPLIED
Addams Family Pugsley's Scavenger Hunt - Gameboy Game,Gameboy,complete (cib),cib,189.90,34.77,256.99,222.22,59.34,APPLIED
Addams Family Pugsley's Scavenger Hunt - NES Game,NES,complete (cib),cib,208.69,108.61,281.99,173.38,64.82,APPLIED
Addams Family Values - SNES Game,SNES,,,,,,,,NO_MATCH
