product,console,loose_old,loose_new,cib_old,cib_new,loose_market,cib_market,source,status
ECW Hardcore Revolution - Sega Dreamcast Game,Sega Dreamcast,15.74,15.74,15.74,15.74,11.71,11.95,pc_search,NO_CHANGE
Hot Shots Tennis: Get a Grip - PSP Game,PSP,7.02,6.99,7.02,11.99,5.199999999999999,9.36,uplift_1.8x,PREVIEW
Hot Wheels Stunt Track Driver - Gameboy Color Game,Gameboy Color,4.71,3.99,4.71,7.99,3.4888888888888885,6.279999999999999,uplift_1.8x,PREVIEW
NBA 09 The Inside - PS2 Game,Playstation 2,8.87,7.99,8.87,14.99,6.5703703703703695,11.826666666666666,uplift_1.8x,PREVIEW
NBA 09 The Inside - PSP Game,PSP,5.28,4.99,5.28,8.99,3.911111111111111,7.04,uplift_1.8x,PREVIEW
