product,console,variant,type,market_price,old_price,new_price,diff,profit,status
007 GoldenEye - Wii Game,Wii,complete (cib),cib,12.40,18.99,16.99,-2.00,3.80,APPLIED
1943: The Battle of Midway - NES Game,NES,,,,,,,,NO_MATCH
2Xtreme - PS1 Game,Playstation,game only,loose,4.45,7.58,6.99,-0.59,2.04,APPLIED
2Xtreme - PS1 Game,Playstation,complete (cib),cib,6.37,12.99,8.99,-4.00,2.06,APPLIED
720 - NES Game,NES,,,,,,,,NO_MATCH
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Active Life: Extreme Challenge - Wii Game,Wii,,,,,,,,NO_MATCH
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,game only,loose,29.37,42.91,39.99,-2.92,9.16,APPLIED
AFL Premiership 2006 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Air Conflicts - PSP Game,PSP,,,,,,,,NO_MATCH
Air Diver - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Alien 3 - SNES Game,SNES,,,,,,,,NO_MATCH
Alien Monster Bowling League - Wii Game,Wii,,,,,,,,NO_MATCH
All-Star Baseball 2000 - Gameboy Color Game,Gameboy Color,game only,loose,5.37,7.24,7.99,0.75,2.09,APPLIED
All-Star Baseball 2003 - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
All-Star Baseball 2005 - Xbox Game,Xbox,,,,,,,,NO_MATCH
Alvin And The Chipmunks The Game - Wii Game,Wii,,,,,,,,NO_MATCH
Animal Kingdom: Wildlife Expedition - Wii Game,Wii,,,,,,,,NO_MATCH
Animaniacs Ten Pin Alley - PS1 Game,Playstation,,,,,,,,NO_MATCH
Animorphs Shattered Reality - PS1 Game,Playstation,,,,,,,,NO_MATCH
Ape Escape On the Loose - PSP Game,PSP,game only,loose,9.49,14.38,12.99,-1.39,2.82,APPLIED
Ape Escape On the Loose - PSP Game,PSP,complete (cib),cib,12.77,18.99,17.99,-1.00,4.40,APPLIED
Arc The Lad Collection - PS1 Game,Playstation,,,,,,,,NO_MATCH
Arcade's Greatest Hits Atari Collection 1 - PS1 Game,Playstation,,,,,,,,NO_MATCH
