product,variant,type,market_price,old_price,new_price,diff,profit,status
007 Agent Under Fire - Gamecube Game,game only,loose,13.96,16.34,18.99,2.65,4.18,APPLIED
007 Agent Under Fire - Gamecube Game,complete (cib),cib,14.49,16.34,19.99,3.65,4.62,APPLIED
007 Agent Under Fire - PS2 Game,game only,loose,5.03,8.85,6.99,-1.86,1.46,APPLIED
007 Agent Under Fire - PS2 Game,complete (cib),cib,8.49,8.85,11.99,3.14,2.85,APPLIED
007 Everything or Nothing - Gamecube Game,game only,loose,14.63,13.16,19.99,6.83,4.48,APPLIED
007 Everything or Nothing - Gamecube Game,complete (cib),cib,18.25,13.16,24.99,11.83,5.72,SAFETY (90% change)
007 Everything or Nothing - Xbox Game,game only,loose,7.24,8.93,9.99,1.06,2.16,APPLIED
007 Everything or Nothing - Xbox Game,complete (cib),cib,9.99,8.93,13.99,5.06,3.29,APPLIED
007 From Russia With Love - Gamecube Game,game only,loose,14.99,18.57,20.99,2.42,5.09,APPLIED
007 From Russia With Love - Gamecube Game,complete (cib),cib,20.12,18.57,27.99,9.42,6.76,APPLIED
007 From Russia With Love - PSP Game,game only,loose,17.99,20.86,24.99,4.13,5.98,APPLIED
007 From Russia With Love - PSP Game,complete (cib),cib,24.99,20.86,33.99,13.13,7.71,APPLIED
007 From Russia With Love - Xbox Game,game only,loose,8.99,9.61,12.99,3.38,3.32,APPLIED
007 From Russia With Love - Xbox Game,complete (cib),cib,10.05,9.61,13.99,4.38,3.23,APPLIED
007 GoldenEye - Nintendo 64 Game,game only,loose,31.19,44.99,42.99,-2.0,10.25,APPLIED
007 GoldenEye - Nintendo 64 Game,complete (cib),cib,79.0,44.99,106.99,62.0,24.59,SAFETY (138% change)
007 GoldenEye - Wii Game,complete (cib),cib,13.49,14.38,18.99,4.61,4.65,APPLIED
007 James Bond - Gameboy Game,game only,loose,13.09,26.84,17.99,-8.85,4.08,APPLIED
007 James Bond - Gameboy Game,complete (cib),cib,42.47,26.84,57.99,31.15,13.54,SAFETY (116% change)
007 Legends - Wii U Game,game only,loose,17.12,42.04,23.99,-18.05,5.87,APPLIED
007 Legends - Wii U Game,complete (cib),cib,21.99,42.04,29.99,-12.05,6.83,APPLIED
007 Nightfire - Gamecube Game,game only,loose,13.84,19.61,18.99,-0.62,4.3,APPLIED
007 Nightfire - Gamecube Game,complete (cib),cib,19.38,19.61,26.99,7.38,6.53,APPLIED
007 Nightfire - GBA Game,game only,loose,21.98,35.58,29.99,-5.59,6.84,APPLIED
007 Nightfire - GBA Game,complete (cib),cib,37.5,35.58,50.99,15.41,11.71,APPLIED
007 Nightfire - PS2 Game,game only,loose,8.06,13.28,10.99,-2.29,2.31,APPLIED
007 Nightfire - PS2 Game,complete (cib),cib,10.84,13.28,14.99,1.71,3.42,APPLIED
007 Nightfire - Xbox Game,game only,loose,8.31,8.73,11.99,3.26,3.03,APPLIED
007 Nightfire - Xbox Game,complete (cib),cib,10.99,8.73,14.99,6.26,3.27,APPLIED
007 Quantum of Solace - Wii Game,complete (cib),cib,8.17,8.3,11.99,3.69,3.17,APPLIED
007 Racing - PS1 Game,game only,loose,5.14,7.58,6.99,-0.59,1.35,APPLIED
007 Racing - PS1 Game,complete (cib),cib,12.67,7.58,17.99,10.41,4.5,SAFETY (137% change)
007 Tomorrow Never Dies - PS1 Game,game only,loose,4.81,9.29,6.99,-2.3,1.68,APPLIED
007 Tomorrow Never Dies - PS1 Game,complete (cib),cib,10.74,9.29,14.99,5.7,3.52,APPLIED
007 World Is Not Enough - Gameboy Color Game,game only,loose,14.24,13.37,19.99,6.62,4.87,APPLIED
007 World Is Not Enough - Gameboy Color Game,complete (cib),cib,19.99,13.37,26.99,13.62,5.92,SAFETY (102% change)
007 World Is Not Enough - Nintendo 64 Game,game only,loose,18.26,22.65,24.99,2.34,5.71,APPLIED
007 World Is Not Enough - Nintendo 64 Game,complete (cib),cib,51.0,22.65,68.99,46.34,15.69,SAFETY (205% change)
007 World is Not Enough - PS1 Game,game only,loose,7.2,11.7,9.99,-1.71,2.2,APPLIED
007 World is Not Enough - PS1 Game,complete (cib),cib,11.46,11.7,15.99,4.29,3.77,APPLIED
10 Pin Bowling - Gameboy Color Game,game only,loose,13.88,23.01,18.99,-4.02,4.26,APPLIED
10 Pin Bowling - Gameboy Color Game,complete (cib),cib,43.12,23.01,58.99,35.98,13.86,SAFETY (156% change)
10-Yard Fight - NES Game,game only,loose,7.85,5.08,10.99,5.91,2.52,SAFETY (116% change)
10-Yard Fight - NES Game,complete (cib),cib,54.97,5.08,74.99,69.91,17.55,SAFETY (1376% change)
101 Dalmatians II Patch's London Adventure - PS1 Game,game only,loose,18.95,18.05,25.99,7.94,5.99,APPLIED
101 Dalmatians II Patch's London Adventure - PS1 Game,complete (cib),cib,22.17,18.05,29.99,11.94,6.65,APPLIED
101-in-1 Party Megamix - Wii Game,game only,loose,5.49,9.55,7.99,-1.56,1.97,APPLIED
101-in-1 Party Megamix - Wii Game,complete (cib),cib,6.48,9.55,8.99,-0.56,1.95,APPLIED
101-in-1 Sports Party Megamix - Wii Game,game only,loose,15.26,19.43,20.99,1.56,4.82,APPLIED
101-in-1 Sports Party Megamix - Wii Game,complete (cib),cib,16.97,19.43,22.99,3.56,5.05,APPLIED
102 Dalmatians Puppies to the Rescue - PS1 Game,complete (cib),cib,17.99,18.98,24.99,6.01,5.98,APPLIED
102 Dalmatians Puppies to the Rescue - Sega Dreamcast Game,game only,loose,12.0,18.66,16.99,-1.67,4.2,APPLIED
102 Dalmatians Puppies to the Rescue - Sega Dreamcast Game,complete (cib),cib,15.0,18.66,20.99,2.33,5.08,APPLIED
1080 Avalanche - Gamecube Game,game only,loose,17.99,20.52,24.99,4.47,5.98,APPLIED
1080 Avalanche - Gamecube Game,complete (cib),cib,25.99,20.52,35.99,15.47,8.66,APPLIED
1080 Snowboarding - Nintendo 64 Game,complete (cib),cib,52.94,17.76,71.99,54.23,16.66,SAFETY (305% change)
18 Wheeler American Pro Trucker - Gamecube Game,game only,loose,5.95,9.73,8.99,-0.74,2.48,APPLIED
18 Wheeler American Pro Trucker - Gamecube Game,complete (cib),cib,13.98,9.73,18.99,9.26,4.16,SAFETY (95% change)
18 Wheeler American Pro Trucker - PS2 Game,game only,loose,7.32,11.69,9.99,-1.7,2.08,APPLIED
18 Wheeler American Pro Trucker - PS2 Game,complete (cib),cib,10.62,11.69,14.99,3.3,3.64,APPLIED
187 Ride or Die - PS2 Game,game only,loose,11.06,17.4,14.99,-2.41,3.2,APPLIED
187 Ride or Die - PS2 Game,complete (cib),cib,16.17,17.4,21.99,4.59,4.88,APPLIED
187 Ride or Die - Xbox Game,game only,loose,8.07,10.48,10.99,0.51,2.3,APPLIED
187 Ride or Die - Xbox Game,complete (cib),cib,10.34,10.48,13.99,3.51,2.94,APPLIED
1942 - NES Game,game only,loose,14.99,23.13,20.99,-2.14,5.09,APPLIED
1942 - NES Game,complete (cib),cib,62.99,23.13,85.99,62.86,20.21,SAFETY (272% change)
1943: The Battle of Midway - NES Game,complete (cib),cib,52.93,25.67,71.99,46.32,16.67,SAFETY (180% change)
2 for 1 Power Pack Winter Blast & Summer Sports 2 - Wii Game,game only,loose,22.28,73.93,30.99,-42.94,7.51,APPLIED
2 for 1 Power Pack Winter Blast & Summer Sports 2 - Wii Game,complete (cib),cib,29.4,73.93,39.99,-33.94,9.13,APPLIED
2006 FIFA World Cup - PSP Game,game only,loose,8.73,4.8,11.99,7.19,2.61,SAFETY (150% change)
2006 FIFA World Cup - PSP Game,complete (cib),cib,9.92,4.8,13.99,9.19,3.36,SAFETY (191% change)
2010 FIFA World Cup South Africa - Wii Game,game only,loose,3.44,6.31,4.99,-1.32,1.11,APPLIED
2010 FIFA World Cup South Africa - Wii Game,complete (cib),cib,6.26,6.31,8.99,2.68,2.17,APPLIED
24 the Game - PS2 Game,game only,loose,6.95,11.19,9.99,-1.2,2.45,APPLIED
24 the Game - PS2 Game,complete (cib),cib,8.97,11.19,12.99,1.8,3.34,APPLIED
25 to Life - Xbox Game,game only,loose,10.55,12.92,14.99,2.07,3.71,APPLIED
25 to Life - Xbox Game,complete (cib),cib,15.38,12.92,20.99,8.07,4.7,APPLIED
2Xtreme - PS1 Game,complete (cib),cib,8.97,7.58,12.99,5.41,3.34,APPLIED
3 Ninjas Kick Back - Sega Genesis Game,game only,loose,60.0,97.83,81.99,-15.84,19.31,APPLIED
3 Ninjas Kick Back - Sega Genesis Game,complete (cib),cib,229.5,97.83,309.99,212.16,71.2,SAFETY (217% change)
300 March to Glory - PSP Game,game only,loose,8.69,9.6,11.99,2.39,2.65,APPLIED
300 March to Glory - PSP Game,complete (cib),cib,9.99,9.6,13.99,4.39,3.29,APPLIED
3D Baseball - PS1 Game,game only,loose,9.03,19.48,12.99,-6.49,3.28,APPLIED
3D Baseball - PS1 Game,complete (cib),cib,24.99,19.48,33.99,14.51,7.71,APPLIED
3D Pool - GBA Game,game only,loose,4.97,8.7,6.99,-1.71,1.52,APPLIED
3D Pool - GBA Game,complete (cib),cib,8.59,8.7,11.99,3.29,2.75,APPLIED
3D WorldRunner - NES Game,game only,loose,11.31,14.31,15.99,1.68,3.92,APPLIED
3D WorldRunner - NES Game,complete (cib),cib,49.99,14.31,67.99,53.68,15.73,SAFETY (375% change)
3Xtreme - PS1 Game,game only,loose,5.43,8.89,7.99,-0.9,2.03,APPLIED
3Xtreme - PS1 Game,complete (cib),cib,9.82,8.89,13.99,5.1,3.46,APPLIED
4 in 1 Fun Pak - Gameboy Game,complete (cib),cib,24.99,9.54,33.99,24.45,7.71,SAFETY (256% change)
4 in 1 Funpak Volume II - Gameboy Game,game only,loose,7.0,7.34,9.99,2.65,2.4,APPLIED
