product,console,source,loose_price,old_cib,new_cib,ratio,status,notes
Breath of Fire - SNES Game,SNES,ebay(30),26.99,116.99,221.99,8.22,APPLIED,diff=105.0
Breath of Fire 3 - PSP Game,PSP,synthetic_ratio_repair(ebay_was_52.90),68.99,60.99,124.99,1.81,APPLIED,diff=64.0
Breeders' Cup World Thoroughbred Championships - PS2 Game,Playstation 2,ebay(3),6.90,11.99,9.99,1.45,APPLIED,diff=-2.0
Bubble and Squeak - Sega Genesis Game,Sega Genesis,ebay(6),24.99,53.99,82.99,3.32,APPLIED,diff=29.0
Buck Rogers Countdown to Doomsday - Sega Genesis Game,Sega Genesis,ebay(11),55.99,85.99,93.99,1.68,APPLIED,diff=8.0
Bug Riders - PS1 Game,Playstation,synthetic_ratio_repair,11.34,19.99,20.99,1.85,APPLIED,diff=1.0
Bugs Bunny Rabbit Rampage - SNES Game,SNES,ebay(9),18.99,25.99,60.99,3.21,APPLIED,diff=35.0
Bujingai The Forsaken City - PS2 Game,Playstation 2,synthetic_ratio_repair,37.24,66.99,67.99,1.83,APPLIED,diff=1.0
Bust-A-Move 99 - Nintendo 64 Game,Nintendo 64,synthetic_ratio_repair,18.99,99.99,34.99,1.84,APPLIED,diff=-65.0
Cabela's Alaskan Adventures - PS2 Game,Playstation 2,ebay(3),6.97,11.99,11.99,1.72,NO_CHANGE,diff=0.0
Cabela's Legendary Adventures - PS2 Game,Playstation 2,ebay(4),10.47,17.99,13.99,1.34,APPLIED,diff=-4.0
Cabela's Monster Bass - PS2 Game,Playstation 2,synthetic_ratio_repair,5.68,9.99,10.99,1.93,APPLIED,diff=1.0
Cabela's Trophy Bucks - PS2 Game,Playstation 2,ebay(8),8.08,13.99,11.99,1.48,APPLIED,diff=-2.0
Cake Mania Baker's Challenge - PS2 Game,Playstation 2,synthetic_ratio_repair,9.33,15.99,16.99,1.82,APPLIED,diff=1.0
Caliber 50 - Sega Genesis Game,Sega Genesis,ebay(3),77.99,113.99,124.99,1.60,APPLIED,diff=11.0
California Speed - Nintendo 64 Game,Nintendo 64,synthetic_ratio_repair,23.29,40.99,41.99,1.80,APPLIED,diff=1.0
CART World Series - PS1 Game,Playstation,ebay(7),9.99,26.99,12.99,1.30,APPLIED,diff=-14.0
Castlequest - NES Game,NES,ebay(14),18.99,21.99,60.99,3.21,APPLIED,diff=39.0
Championship Bowling - NES Game,NES,ebay(24),9.99,11.99,31.99,3.20,APPLIED,diff=20.0
Chiller - NES Game,NES,synthetic_outlier_guard(ebay_was_393.50_n=4),147.28,264.99,265.99,1.81,APPLIED,diff=1.0
ClayFighter - SNES Game,SNES,ebay(8),23.99,44.99,132.99,5.54,APPLIED,diff=88.0
ClayFighter 2 Judgment Clay - SNES Game,SNES,ebay(9),27.99,44.99,105.99,3.79,APPLIED,diff=61.0
Cleopatra's Fortune - PS1 Game,Playstation,synthetic_ratio_repair,7.32,12.99,13.99,1.91,APPLIED,diff=1.0
Coach K College Basketball - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,18.99,18.99,34.99,1.84,APPLIED,diff=16.0
Code Lyoko Quest for Infinity - PS2 Game,Playstation 2,synthetic_ratio_repair,33.36,59.99,60.99,1.83,APPLIED,diff=1.0
College Hoops 2K7 - PS2 Game,Playstation 2,synthetic_ratio_repair,10.41,17.99,18.99,1.82,APPLIED,diff=1.0
College Hoops 2K8 - PS2 Game,Playstation 2,synthetic_ratio_repair(ebay_was_9.19),24.61,43.99,44.99,1.83,APPLIED,diff=1.0
College Slam - Gameboy Game,Gameboy,synthetic_ratio_repair,12.99,25.99,23.99,1.85,APPLIED,diff=-2.0
Combat Elite W - Wii Game Paratroopers - PS2 Game,Playstation 2,synthetic_ratio_repair,11.86,20.99,21.99,1.85,APPLIED,diff=1.0
Conan the Mysteries of Time - NES Game,NES,synthetic_outlier_guard(ebay_was_321.99_n=3),114.99,259.99,206.99,1.80,APPLIED,diff=-53.0
Contra Adventure - PS1 Game,Playstation,ebay(8),22.99,84.99,45.99,2.00,APPLIED,diff=-39.0
Contra Legacy of War - Sega Saturn Game,Sega Saturn,synthetic_outlier_guard(ebay_was_333.50_n=6),104.99,215.99,188.99,1.80,APPLIED,diff=-27.0
Cosmo Tank - Gameboy Game,Gameboy,synthetic_outlier_guard(ebay_was_135.69_n=4),24.99,36.99,44.99,1.80,APPLIED,diff=8.0
