product,variant,type,market_price,old_price,new_price,diff,profit,status
007 Everything or Nothing - Gamecube Game,complete (cib),cib,18.25,13.16,24.99,11.83,5.72,SAFETY (90% change)
007 Everything or Nothing - Xbox Game,game only,loose,14.63,9.99,19.99,10.0,4.48,SAFETY (100% change)
007 Everything or Nothing - Xbox Game,complete (cib),cib,18.25,13.99,24.99,11.0,5.72,APPLIED
007 From Russia With Love - Xbox Game,game only,loose,14.99,12.99,20.99,8.0,5.09,APPLIED
007 From Russia With Love - Xbox Game,complete (cib),cib,20.12,13.99,27.99,14.0,6.76,SAFETY (100% change)
007 GoldenEye - Nintendo 64 Game,complete (cib),cib,79.0,44.99,106.99,62.0,24.59,SAFETY (138% change)
007 James Bond - Gameboy Game,complete (cib),cib,42.47,26.84,57.99,31.15,13.54,SAFETY (116% change)
007 Nightfire - Xbox Game,game only,loose,13.84,11.99,18.99,7.0,4.3,APPLIED
007 Nightfire - Xbox Game,complete (cib),cib,19.38,14.99,26.99,12.0,6.53,SAFETY (80% change)
007 Racing - PS1 Game,complete (cib),cib,12.67,7.58,17.99,10.41,4.5,SAFETY (137% change)
007 World Is Not Enough - Gameboy Color Game,complete (cib),cib,19.99,13.37,26.99,13.62,5.92,SAFETY (102% change)
007 World Is Not Enough - Nintendo 64 Game,complete (cib),cib,51.0,22.65,68.99,46.34,15.69,SAFETY (205% change)
10 Pin Bowling - Gameboy Color Game,complete (cib),cib,43.12,23.01,58.99,35.98,13.86,SAFETY (156% change)
10-Yard Fight - NES Game,game only,loose,7.85,5.08,10.99,5.91,2.52,SAFETY (116% change)
10-Yard Fight - NES Game,complete (cib),cib,54.97,5.08,74.99,69.91,17.55,SAFETY (1376% change)
1080 Snowboarding - Nintendo 64 Game,complete (cib),cib,52.94,17.76,71.99,54.23,16.66,SAFETY (305% change)
18 Wheeler American Pro Trucker - Gamecube Game,complete (cib),cib,13.98,9.73,18.99,9.26,4.16,SAFETY (95% change)
187 Ride or Die - Xbox Game,game only,loose,11.06,10.99,14.99,4.0,3.2,APPLIED
187 Ride or Die - Xbox Game,complete (cib),cib,16.17,13.99,21.99,8.0,4.88,APPLIED
1942 - NES Game,complete (cib),cib,62.99,23.13,85.99,62.86,20.21,SAFETY (272% change)
1943: The Battle of Midway - NES Game,complete (cib),cib,52.93,25.67,71.99,46.32,16.67,SAFETY (180% change)
2006 FIFA World Cup - PSP Game,game only,loose,8.73,4.8,11.99,7.19,2.61,SAFETY (150% change)
2006 FIFA World Cup - PSP Game,complete (cib),cib,9.92,4.8,13.99,9.19,3.36,SAFETY (191% change)
25 to Life - Xbox Game,game only,loose,15.47,14.99,20.99,6.0,4.61,APPLIED
25 to Life - Xbox Game,complete (cib),cib,18.99,20.99,25.99,5.0,5.95,APPLIED
3 Ninjas Kick Back - Sega Genesis Game,complete (cib),cib,229.5,97.83,309.99,212.16,71.2,SAFETY (217% change)
3D WorldRunner - NES Game,complete (cib),cib,49.99,14.31,67.99,53.68,15.73,SAFETY (375% change)
4 in 1 Fun Pak - Gameboy Game,complete (cib),cib,24.99,9.54,33.99,24.45,7.71,SAFETY (256% change)
4 in 1 Funpak Volume II - Gameboy Game,complete (cib),cib,17.99,7.34,24.99,17.65,5.98,SAFETY (240% change)
4 Wheel Thunder - Sega Dreamcast Game,complete (cib),cib,19.99,14.4,26.99,12.59,5.92,SAFETY (87% change)
