product,console,variant,type,market_price,old_price,new_price,diff,profit,status
Lemony Snicket's A Series of Unfortunate Events - Gamecube Game,Gamecube,game only,loose,8.82,10.99,11.99,1.00,2.52,APPLIED
Let's Paint - Wii Game,Wii,,,,,,,,NO_MATCH
Let's Play Garden - Wii Game,Wii,,,,,,,,NO_MATCH
Lethal Enforcers - SNES Game,SNES,,,,,,,,NO_MATCH
Lethal Enforcers 1 and 2 - PS1 Game,Playstation,,,,,,,,NO_MATCH
Lethal Enforcers II Gun Fighters - Sega CD Game,Sega CD,complete (cib),cib,23.93,38.99,32.99,-6.00,7.80,APPLIED
Liberty or Death - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Lightening Force Quest for the Darkstar - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Line Rider 2 Unbound - Wii Game,Wii,,,,,,,,NO_MATCH
Link's Crossbow Training - Wii Game,Wii,complete (cib),cib,7.48,9.99,10.99,1.00,2.89,APPLIED
Little King's Story - Wii Game,Wii,complete (cib),cib,22.94,31.99,30.99,-1.00,6.85,APPLIED
Little League World Series Baseball 2008 - Wii Game,Wii,,,,,,,,NO_MATCH
Little Mermaid - NES Game,NES,,,,,,,,NO_MATCH
Little Mermaid 2 Pinball Frenzy - Gameboy Color Game,Gameboy Color,game only,loose,14.70,18.99,19.99,1.00,4.41,APPLIED
Little Mermaid II - PS1 Game,Playstation,complete (cib),cib,17.99,22.99,24.99,2.00,5.98,APPLIED
Little Nicky - Gameboy Color Game,Gameboy Color,,,,,,,,NO_MATCH
Lizzie McGuire 2 - GBA Game,Gameboy Advance,game only,loose,7.36,8.99,9.99,1.00,2.04,APPLIED
Lizzie McGuire 2 - GBA Game,Gameboy Advance,complete (cib),cib,15.65,18.99,21.99,3.00,5.40,APPLIED
Lizzie McGuire 3 - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
Loaded - Sega Saturn Game,Sega Saturn,,,,,,,,NO_MATCH
Logical - Gameboy Color Game,Gameboy Color,game only,loose,11.26,13.99,15.99,2.00,3.97,APPLIED
Lone Ranger - NES Game,NES,,,,,,,,NO_MATCH
Looney Tunes B-Ball - SNES Game,SNES,,,,,,,,NO_MATCH
Lord of the Rings Fellowship of the Ring - PS2 Game,Playstation 2,complete (cib),cib,13.49,20.99,18.99,-2.00,4.65,APPLIED
Lord of the Rings Two Towers - PS2 Game,Playstation 2,complete (cib),cib,10.18,14.99,13.99,-1.00,3.10,APPLIED
Lord of the Rings Volume 1 - SNES Game,SNES,,,,,,,,NO_MATCH
Lord of the Rings: Aragorn's Quest - PS2 Game,Playstation 2,complete (cib),cib,9.95,14.99,13.99,-1.00,3.33,APPLIED
Lord of the Rings: The Third Age - PS2 Game,Playstation 2,complete (cib),cib,22.97,30.99,31.99,1.00,7.79,APPLIED
Lost in Shadow - Wii Game,Wii,,,,,,,,NO_MATCH
Lost World Jurassic Park - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Lotus II - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Lotus Turbo Challenge - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Lowrider - PS2 Game,Playstation 2,complete (cib),cib,25.23,33.99,34.99,1.00,8.45,APPLIED
