product,console,variant,type,market_price,old_price,new_price,diff,profit,status
Lucky Luke - PS1 Game,Playstation,complete (cib),cib,51.00,65.99,68.99,3.00,15.69,APPLIED
Lufia and The Fortress of Doom - SNES Game,SNES,,,,,,,,NO_MATCH
Lufia Ruins of Lore - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
Luigi's Mansion - Gamecube Game,Gamecube,game only,loose,48.95,60.99,66.99,6.00,15.80,APPLIED
Luigi's Mansion - Gamecube Game,Gamecube,complete (cib),cib,66.24,85.99,89.99,4.00,20.84,APPLIED
Lunar 2 Eternal Blue Complete - PS1 Game,Playstation,game only,loose,39.99,64.99,53.99,-11.00,12.13,APPLIED
Lunar 2 Eternal Blue Complete - PS1 Game,Playstation,complete (cib),cib,150.49,174.99,203.99,29.00,47.28,APPLIED
Lunar Silver Star Story Complete - PS1 Game,Playstation,complete (cib),cib,99.99,148.99,134.99,-14.00,30.79,APPLIED
Lunar: Silver Star Harmony - PSP Game,PSP,game only,loose,24.91,34.99,33.99,-1.00,7.79,APPLIED
Lunar: Silver Star Harmony - PSP Game,PSP,complete (cib),cib,44.98,64.99,60.99,-4.00,13.94,APPLIED
M.A.C.H. - PSP Game,PSP,complete (cib),cib,10.97,14.38,14.99,0.61,3.29,APPLIED
M.C. Kids - NES Game,NES,,,,,,,,NO_MATCH
Mace Dark Age - Nintendo 64 Game,Nintendo 64,game only,loose,22.92,29.99,30.99,1.00,6.87,APPLIED
Mach Rider - NES Game,NES,game only,loose,9.32,13.99,12.99,-1.00,2.99,APPLIED
Mach Rider - NES Game,NES,complete (cib),cib,91.48,124.99,123.99,-1.00,28.61,APPLIED
Mad Dog II Lost Gold - Sega CD Game,Sega CD,,,,,,,,NO_MATCH
Mad Dog McCree - Sega CD Game,Sega CD,,,,,,,,NO_MATCH
Mad Dog McCree: Gunslinger Pack - Wii Game,Wii,game only,loose,30.99,45.99,41.99,-4.00,9.48,APPLIED
Mad Dog McCree: Gunslinger Pack - Wii Game,Wii,complete (cib),cib,38.50,53.99,51.99,-2.00,11.68,APPLIED
Mad Max - NES Game,NES,,,,,,,,NO_MATCH
Madagascar - PS2 Game,Playstation 2,complete (cib),cib,10.55,13.99,14.99,1.00,3.71,APPLIED
Madden 2001 - Gameboy Color Game,Gameboy Color,,,,,,,,NO_MATCH
Madden 2002 - Gameboy Color Game,Gameboy Color,,,,,,,,NO_MATCH
Madden 2002 - Gamecube Game,Gamecube,,,,,,,,NO_MATCH
Madden 2003 - PS1 Game,Playstation,complete (cib),cib,6.99,8.99,9.99,1.00,2.41,APPLIED
Madden 2004 - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
Madden 2007 - Gamecube Game,Gamecube,,,,,,,,NO_MATCH
Madden 2008 - Gamecube Game,Gamecube,,,,,,,,NO_MATCH
Madden 64 - Nintendo 64 Game,Nintendo 64,game only,loose,6.35,7.95,8.99,1.04,2.08,APPLIED
Madden 97 - Gameboy Game,Gameboy,,,,,,,,NO_MATCH
Madden 99 - Nintendo 64 Game,Nintendo 64,game only,loose,6.35,7.99,8.99,1.00,2.08,APPLIED
Madden NFL '95 - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Madden NFL 10 - PSP Game,PSP,,,,,,,,NO_MATCH
Madden NFL 10 - Wii Game,Wii,game only,loose,3.01,6.78,4.99,-1.79,1.54,APPLIED
Madden NFL 10 - Wii Game,Wii,complete (cib),cib,5.88,6.78,7.99,1.21,1.58,APPLIED
Madden NFL 11 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Madden NFL 11 - PSP Game,PSP,game only,loose,11.64,11.70,15.99,4.29,3.59,APPLIED
Madden NFL 11 - PSP Game,PSP,complete (cib),cib,13.35,11.70,18.99,7.29,4.79,APPLIED
Madden NFL 12 - PS2 Game,Playstation 2,game only,loose,28.90,38.00,39.99,1.99,9.63,APPLIED
Madden NFL 12 - PS2 Game,Playstation 2,complete (cib),cib,36.40,38.00,49.99,11.99,11.84,APPLIED
Madden NFL 12 - PSP Game,PSP,,,,,,,,NO_MATCH
MadWorld - Wii Game,Wii,game only,loose,13.09,17.00,17.99,0.99,4.08,APPLIED
MadWorld - Wii Game,Wii,complete (cib),cib,15.00,17.00,20.99,3.99,5.08,APPLIED
Mafia - PS2 Game,Playstation 2,game only,loose,9.39,12.31,12.99,0.68,2.92,APPLIED
Mafia - PS2 Game,Playstation 2,complete (cib),cib,13.99,12.31,18.99,6.68,4.15,APPLIED
Magi-Nation - Gameboy Color Game,Gameboy Color,,,,,,,,NO_MATCH
Magic Pengel The Quest For Color - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Magical Drop - Gameboy Color Game,Gameboy Color,game only,loose,34.99,35.77,47.99,12.22,11.31,APPLIED
Magical Drop - Gameboy Color Game,Gameboy Color,complete (cib),cib,71.84,35.77,96.99,61.22,22.04,APPLIED
Magical Mirror Starring Mickey Mouse - Gamecube Game,Gamecube,game only,loose,15.10,21.68,20.99,-0.69,4.98,APPLIED
Magical Mirror Starring Mickey Mouse - Gamecube Game,Gamecube,complete (cib),cib,22.36,21.68,30.99,9.31,7.43,APPLIED
Magical Quest 3 Starring Mickey and Donald - GBA Game,Gameboy Advance,game only,loose,85.42,147.68,115.99,-31.69,26.91,APPLIED
Magical Quest 3 Starring Mickey and Donald - GBA Game,Gameboy Advance,complete (cib),cib,291.36,147.68,393.99,246.31,90.90,APPLIED
Magical Quest starring Mickey Mouse - SNES Game,SNES,,,,,,,,NO_MATCH
Magical Tetris Challenge - Nintendo 64 Game,Nintendo 64,game only,loose,25.00,33.34,33.99,0.65,7.70,APPLIED
Magical Tetris Challenge - Nintendo 64 Game,Nintendo 64,complete (cib),cib,79.99,33.34,107.99,74.65,24.57,APPLIED
Magician - NES Game,NES,,,,,,,,NO_MATCH
Magmax - NES Game,NES,,,,,,,,NO_MATCH
Major League Baseball 2K10 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Major League Baseball 2K10 - PSP Game,PSP,,,,,,,,NO_MATCH
Major League Baseball 2K11 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Major League Baseball 2K11 - PSP Game,PSP,,,,,,,,NO_MATCH
Major League Baseball 2K6 - PSP Game,PSP,,,,,,,,NO_MATCH
Major League Baseball 2K7 - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
Major League Baseball 2K7 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Major League Baseball 2K7 - PSP Game,PSP,,,,,,,,NO_MATCH
Major League Baseball 2K8 - PSP Game,PSP,,,,,,,,NO_MATCH
Major League Baseball 2K9 - PSP Game,PSP,,,,,,,,NO_MATCH
Major League Baseball Featuring Ken Griffey Jr - Nintendo 64 Game,Nintendo 64,game only,loose,11.37,17.99,15.99,-2.00,3.86,APPLIED
Major League Baseball Featuring Ken Griffey Jr - Nintendo 64 Game,Nintendo 64,complete (cib),cib,34.30,48.99,46.99,-2.00,11.03,APPLIED
Manhunt 2 - PS2 Game,Playstation 2,game only,loose,33.81,79.99,45.99,-34.00,10.55,APPLIED
Manhunt 2 - PS2 Game,Playstation 2,complete (cib),cib,59.99,79.99,80.99,1.00,18.35,APPLIED
Manhunt 2 - PSP Game,PSP,game only,loose,37.49,39.63,50.99,11.36,11.72,APPLIED
Manhunt 2 - PSP Game,PSP,complete (cib),cib,65.00,39.63,87.99,48.36,20.14,APPLIED
Maniac Racers AdvancePAL  - GBA Game,Gameboy Advance,game only,loose,100.63,8.00,135.99,127.99,31.12,APPLIED
Maniac Racers AdvancePAL  - GBA Game,Gameboy Advance,complete (cib),cib,219.50,8.00,296.99,288.99,68.58,APPLIED
Mansion of Hidden Souls - Sega Saturn Game,Sega Saturn,game only,loose,12.36,23.90,16.99,-6.91,3.84,APPLIED
Mansion of Hidden Souls - Sega Saturn Game,Sega Saturn,complete (cib),cib,26.44,23.90,35.99,12.09,8.21,APPLIED
Mappy-Land - NES Game,NES,,,,,,,,NO_MATCH
Marble Madness - Gameboy Color Game,Gameboy Color,game only,loose,11.50,13.76,15.99,2.23,3.73,APPLIED
Marble Madness - Gameboy Color Game,Gameboy Color,complete (cib),cib,27.04,13.76,36.99,23.23,8.58,APPLIED
Marble Madness - Gameboy Game,Gameboy,game only,loose,11.50,17.68,15.99,-1.69,3.73,APPLIED
Marble Madness - Gameboy Game,Gameboy,complete (cib),cib,27.04,17.68,36.99,19.31,8.58,APPLIED
Marble Madness - NES Game,NES,game only,loose,10.57,14.36,14.99,0.63,3.69,APPLIED
Marble Madness - NES Game,NES,complete (cib),cib,29.99,14.36,40.99,26.63,9.51,APPLIED
Marble Madness - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Mario and Luigi Superstar Saga - GBA Game,Gameboy Advance,game only,loose,24.49,50.68,33.99,-16.69,8.21,APPLIED
Mario and Luigi Superstar Saga - GBA Game,Gameboy Advance,complete (cib),cib,75.00,50.68,101.99,51.31,23.73,APPLIED
Mario and Sonic at the Olympic Games - Wii Game,Wii,game only,loose,9.97,16.56,13.99,-2.57,3.31,APPLIED
Mario and Sonic at the Olympic Games - Wii Game,Wii,complete (cib),cib,11.14,16.56,15.99,-0.57,4.09,APPLIED
Mario and Sonic at the Olympic Winter Games - Wii Game,Wii,game only,loose,12.66,19.64,17.99,-1.65,4.51,APPLIED
Mario Golf - Gameboy Color Game,Gameboy Color,game only,loose,33.29,28.99,44.99,16.00,10.10,APPLIED
Mario Golf - Gameboy Color Game,Gameboy Color,complete (cib),cib,64.57,28.99,87.99,59.00,20.57,APPLIED
Mario Golf - Nintendo 64 Game,Nintendo 64,game only,loose,41.47,53.08,55.99,2.91,12.60,APPLIED
Mario Golf - Nintendo 64 Game,Nintendo 64,complete (cib),cib,89.99,53.08,121.99,68.91,28.16,APPLIED
Mario Golf Advance Tour - GBA Game,Gameboy Advance,game only,loose,31.13,38.18,42.99,4.81,10.31,APPLIED
Mario Golf Advance Tour - GBA Game,Gameboy Advance,complete (cib),cib,67.00,38.18,90.99,52.81,21.05,APPLIED
Mario Golf Toadstool Tour - Gamecube Game,Gamecube,game only,loose,17.95,26.72,24.99,-1.73,6.02,APPLIED
Mario Golf Toadstool Tour - Gamecube Game,Gamecube,complete (cib),cib,29.03,26.72,39.99,13.27,9.50,APPLIED
Mario Is Missing - NES Game,NES,game only,loose,25.78,39.34,34.99,-4.35,7.90,APPLIED
Mario Is Missing - NES Game,NES,complete (cib),cib,89.28,39.34,120.99,81.65,27.90,APPLIED
Mario is Missing - SNES Game,SNES,,,,,,,,NO_MATCH
Mario Kart 64 - Nintendo 64 Game,Nintendo 64,game only,loose,44.52,67.40,60.99,-6.41,14.40,APPLIED
Mario Kart 64 - Nintendo 64 Game,Nintendo 64,complete (cib),cib,118.62,67.40,160.99,93.59,37.40,APPLIED
Mario Kart 8 - Wii U Game,Wii U,game only,loose,9.99,22.07,13.99,-8.08,3.29,APPLIED
Mario Kart 8 - Wii U Game,Wii U,complete (cib),cib,14.97,22.07,20.99,-1.08,5.11,APPLIED
Mario Kart Double Dash - Gamecube Game,Gamecube,game only,loose,65.70,93.00,88.99,-4.01,20.41,APPLIED
Mario Kart Double Dash - Gamecube Game,Gamecube,complete (cib),cib,72.50,93.00,97.99,4.99,22.35,APPLIED
Mario Kart Super Circuit - GBA Game,Gameboy Advance,game only,loose,18.45,35.16,24.99,-10.17,5.52,APPLIED
Mario Kart Super Circuit - GBA Game,Gameboy Advance,complete (cib),cib,59.93,35.16,80.99,45.83,18.41,APPLIED
Mario Kart Wii - Wii Game,Wii,game only,loose,30.11,51.71,40.99,-10.72,9.39,APPLIED
Mario Kart Wii - Wii Game,Wii,complete (cib),cib,35.16,51.71,47.99,-3.72,11.14,APPLIED
Mario Lemieux Hockey - Sega Genesis Game,Sega Genesis,game only,loose,6.27,11.06,8.99,-2.07,2.16,APPLIED
Mario Lemieux Hockey - Sega Genesis Game,Sega Genesis,complete (cib),cib,15.49,11.06,20.99,9.93,4.59,APPLIED
Mario Paint - SNES Game,SNES,,,,,,,,NO_MATCH
Mario Party - Nintendo 64 Game,Nintendo 64,game only,loose,47.95,54.99,64.99,10.00,14.86,APPLIED
Mario Party - Nintendo 64 Game,Nintendo 64,complete (cib),cib,139.25,54.99,187.99,133.00,42.99,APPLIED
Mario Party 10 - Wii U Game,Wii U,game only,loose,18.99,35.62,25.99,-9.63,5.95,APPLIED
Mario Party 10 - Wii U Game,Wii U,complete (cib),cib,21.84,35.62,29.99,-5.63,6.98,APPLIED
Mario Party 2 - Nintendo 64 Game,Nintendo 64,game only,loose,47.95,72.43,64.99,-7.44,14.86,APPLIED
Mario Party 2 - Nintendo 64 Game,Nintendo 64,complete (cib),cib,139.25,72.43,187.99,115.56,42.99,APPLIED
Mario Party 3 - Nintendo 64 Game,Nintendo 64,game only,loose,58.62,96.79,79.99,-16.80,18.75,APPLIED
Mario Party 3 - Nintendo 64 Game,Nintendo 64,complete (cib),cib,157.92,96.79,213.99,117.20,49.56,APPLIED
Mario Party 4 - Gamecube Game,Gamecube,game only,loose,39.93,89.50,53.99,-35.51,12.19,APPLIED
Mario Party 4 - Gamecube Game,Gamecube,complete (cib),cib,60.00,89.50,81.99,-7.51,19.31,APPLIED
Mario Party 5 - Gamecube Game,Gamecube,game only,loose,49.50,84.99,66.99,-18.00,15.25,APPLIED
Mario Party 5 - Gamecube Game,Gamecube,complete (cib),cib,68.15,84.99,92.99,8.00,21.84,APPLIED
Mario Party 6 - Gamecube Game,Gamecube,game only,loose,68.15,115.99,92.99,-23.00,21.84,APPLIED
Mario Party 6 - Gamecube Game,Gamecube,complete (cib),cib,91.49,115.99,123.99,8.00,28.60,APPLIED
Mario Party 7 - Gamecube Game,Gamecube,game only,loose,37.06,74.40,50.99,-23.41,12.15,APPLIED
Mario Party 7 - Gamecube Game,Gamecube,complete (cib),cib,54.81,74.40,74.99,0.59,17.71,APPLIED
Mario Party 8 - Wii Game,Wii,game only,loose,25.99,42.64,35.99,-6.65,8.66,APPLIED
Mario Party 8 - Wii Game,Wii,complete (cib),cib,27.83,42.64,37.99,-4.65,8.76,APPLIED
Mario Party 9 - Wii Game,Wii,game only,loose,36.50,80.75,49.99,-30.76,11.74,APPLIED
Mario Party 9 - Wii Game,Wii,complete (cib),cib,44.50,80.75,60.99,-19.76,14.42,APPLIED
Mario Party Advance - GBA Game,Gameboy Advance,game only,loose,19.55,27.54,26.99,-0.55,6.36,APPLIED
Mario Party Advance - GBA Game,Gameboy Advance,complete (cib),cib,107.87,27.54,145.99,118.45,33.59,APPLIED
Mario Pinball Land - GBA Game,Gameboy Advance,game only,loose,15.16,25.82,20.99,-4.83,4.92,APPLIED
Mario Pinball Land - GBA Game,Gameboy Advance,complete (cib),cib,56.22,25.82,75.99,50.17,17.27,APPLIED
Mario Power Tennis - Gamecube Game,Gamecube,game only,loose,22.05,37.18,29.99,-7.19,6.77,APPLIED
Mario Power Tennis - Gamecube Game,Gamecube,complete (cib),cib,41.42,37.18,55.99,18.81,12.65,APPLIED
Mario Power TennisPAL  - GBA Game,Gameboy Advance,complete (cib),cib,63.25,24.78,85.99,61.21,19.95,APPLIED
Mario Sports Mix - Wii Game,Wii,game only,loose,22.97,33.76,31.99,-1.77,7.79,APPLIED
Mario Sports Mix - Wii Game,Wii,complete (cib),cib,29.93,33.76,40.99,7.23,9.57,APPLIED
Mario Strikers Charged - Wii Game,Wii,game only,loose,13.33,21.85,18.99,-2.86,4.81,APPLIED
Mario Strikers Charged - Wii Game,Wii,complete (cib),cib,15.50,21.85,20.99,-0.86,4.58,APPLIED
Mario Super Sluggers - Wii Game,Wii,game only,loose,33.55,42.30,45.99,3.69,10.81,APPLIED
Mario Super Sluggers - Wii Game,Wii,complete (cib),cib,37.52,42.30,50.99,8.69,11.69,APPLIED
Mario Superstar Baseball - Gamecube Game,Gamecube,game only,loose,50.47,70.77,68.99,-1.78,16.22,APPLIED
Mario Superstar Baseball - Gamecube Game,Gamecube,complete (cib),cib,66.41,70.77,89.99,19.22,20.67,APPLIED
Mario Tennis - Gameboy Color Game,Gameboy Color,game only,loose,29.17,21.03,39.99,18.96,9.36,APPLIED
Mario Tennis - Gameboy Color Game,Gameboy Color,complete (cib),cib,70.79,21.03,95.99,74.96,22.12,APPLIED
Mario Tennis - Nintendo 64 Game,Nintendo 64,game only,loose,29.97,36.05,40.99,4.94,9.53,APPLIED
Mario Tennis - Nintendo 64 Game,Nintendo 64,complete (cib),cib,89.44,36.05,120.99,84.94,27.74,APPLIED
Mario Tennis Power Tour - GBA Game,Gameboy Advance,game only,loose,29.92,33.19,40.99,7.80,9.58,APPLIED
Mario Tennis Power Tour - GBA Game,Gameboy Advance,complete (cib),cib,55.27,33.19,74.99,41.80,17.25,APPLIED
Mario Tennis Ultra Smash - Wii U Game,Wii U,game only,loose,12.27,19.23,16.99,-2.24,3.93,APPLIED
Mario Tennis Ultra Smash - Wii U Game,Wii U,complete (cib),cib,12.47,19.23,16.99,-2.24,3.73,APPLIED
Mario vs. Donkey Kong - GBA Game,Gameboy Advance,game only,loose,17.49,29.73,23.99,-5.74,5.50,APPLIED
Mario vs. Donkey Kong - GBA Game,Gameboy Advance,complete (cib),cib,60.00,29.73,81.99,52.26,19.31,APPLIED
Mario's Picross - Gameboy Game,Gameboy,game only,loose,51.46,47.89,69.99,22.10,16.20,APPLIED
Mario's Picross - Gameboy Game,Gameboy,complete (cib),cib,113.14,47.89,152.99,105.10,35.11,APPLIED
Mark of Kri - PS2 Game,Playstation 2,game only,loose,6.03,11.89,8.99,-2.90,2.40,APPLIED
Marksman Shooting and Trap Shooting - Sega Master System Game,Sega Master System,complete (cib),cib,14.23,11.15,19.99,8.84,4.88,APPLIED
Mars Matrix - Sega Dreamcast Game,Sega Dreamcast,game only,loose,63.96,137.20,86.99,-50.21,20.21,APPLIED
Mars Matrix - Sega Dreamcast Game,Sega Dreamcast,complete (cib),cib,135.26,137.20,182.99,45.79,42.12,APPLIED
Marsupilami - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Martian Gothic Unification - PS1 Game,Playstation,game only,loose,20.78,18.22,28.99,10.77,7.07,APPLIED
Martian Gothic Unification - PS1 Game,Playstation,complete (cib),cib,20.94,18.22,28.99,10.77,6.91,APPLIED
Martian Panic - Wii Game,Wii,game only,loose,23.36,14.69,31.99,17.30,7.40,APPLIED
Martian Panic - Wii Game,Wii,complete (cib),cib,37.49,14.69,50.99,36.30,11.72,APPLIED
Marvel Avengers: Battle For Earth - Wii U Game,Wii U,game only,loose,9.61,17.00,12.99,-4.01,2.70,APPLIED
Marvel Avengers: Battle For Earth - Wii U Game,Wii U,complete (cib),cib,11.43,17.00,15.99,-1.01,3.80,APPLIED
Marvel Nemesis Rise of the Imperfects - PS2 Game,Playstation 2,game only,loose,12.61,19.99,17.99,-2.00,4.56,APPLIED
Marvel Nemesis Rise of the Imperfects - PS2 Game,Playstation 2,complete (cib),cib,13.67,19.99,18.99,-1.00,4.47,APPLIED
Marvel Nemesis Rise of the Imperfects - PSP Game,PSP,game only,loose,12.01,16.03,16.99,0.96,4.19,APPLIED
Marvel Nemesis Rise of the Imperfects - PSP Game,PSP,complete (cib),cib,14.17,16.03,19.99,3.96,4.94,APPLIED
Marvel Super Hero Squad - PS2 Game,Playstation 2,game only,loose,6.98,12.16,9.99,-2.17,2.42,APPLIED
Marvel Super Hero Squad - PS2 Game,Playstation 2,complete (cib),cib,7.65,12.16,10.99,-1.17,2.72,APPLIED
Marvel Super Hero Squad - Wii Game,Wii,complete (cib),cib,8.88,11.05,11.99,0.94,2.46,APPLIED
Marvel Super Hero Squad: Comic Combat - Wii Game,Wii,complete (cib),cib,8.97,10.22,12.99,2.77,3.34,APPLIED
Marvel Super Hero Squad: The Infinity Gauntlet - Wii Game,Wii,game only,loose,6.73,11.03,9.99,-1.04,2.67,APPLIED
Marvel Super Hero Squad: The Infinity Gauntlet - Wii Game,Wii,complete (cib),cib,7.19,11.03,9.99,-1.04,2.21,APPLIED
Marvel Super Heroes - Sega Saturn Game,Sega Saturn,game only,loose,47.50,143.76,64.99,-78.77,15.31,APPLIED
Marvel Super Heroes - Sega Saturn Game,Sega Saturn,complete (cib),cib,120.00,143.76,162.99,19.23,37.96,APPLIED
Marvel Super Heroes vs. Street Fighter - PS1 Game,Playstation,game only,loose,35.55,117.80,48.99,-68.81,11.72,APPLIED
Marvel Super Heroes vs. Street Fighter - PS1 Game,Playstation,complete (cib),cib,66.25,117.80,89.99,-27.81,20.83,APPLIED
Marvel Trading Card Game - PSP Game,PSP,game only,loose,11.25,15.07,15.99,0.92,3.98,APPLIED
Marvel Trading Card Game - PSP Game,PSP,complete (cib),cib,16.59,15.07,22.99,7.92,5.43,APPLIED
Marvel Ultimate Alliance - PS2 Game,Playstation 2,game only,loose,10.81,13.72,14.99,1.27,3.45,APPLIED
Marvel Ultimate Alliance - PS2 Game,Playstation 2,complete (cib),cib,14.00,13.72,18.99,5.27,4.14,APPLIED
Marvel Ultimate Alliance - PSP Game,PSP,game only,loose,21.53,23.58,29.99,6.41,7.29,APPLIED
Marvel Ultimate Alliance - PSP Game,PSP,complete (cib),cib,26.19,23.58,35.99,12.41,8.46,APPLIED
Marvel Ultimate Alliance - Wii Game,Wii,game only,loose,7.26,10.86,9.99,-0.87,2.14,APPLIED
Marvel Ultimate Alliance - Wii Game,Wii,complete (cib),cib,9.89,10.86,13.99,3.13,3.39,APPLIED
Marvel Ultimate Alliance 2 - PS2 Game,Playstation 2,game only,loose,10.81,21.05,14.99,-6.06,3.45,APPLIED
Marvel Ultimate Alliance 2 - PS2 Game,Playstation 2,complete (cib),cib,14.00,21.05,18.99,-2.06,4.14,APPLIED
Marvel Ultimate Alliance 2 - Wii Game,Wii,game only,loose,9.43,10.20,12.99,2.79,2.88,APPLIED
Marvel Ultimate Alliance 2 - Wii Game,Wii,complete (cib),cib,12.14,10.20,16.99,6.79,4.06,APPLIED
Marvel vs Capcom - Sega Dreamcast Game,Sega Dreamcast,game only,loose,62.05,82.10,83.99,1.89,19.20,APPLIED
Marvel vs Capcom - Sega Dreamcast Game,Sega Dreamcast,complete (cib),cib,116.51,82.10,157.99,75.89,36.60,APPLIED
Marvel vs. Capcom Clash of Super Heroes - PS1 Game,Playstation,game only,loose,39.98,133.00,53.99,-79.01,12.14,APPLIED
Marvel vs. Capcom Clash of Super Heroes - PS1 Game,Playstation,complete (cib),cib,87.84,133.00,118.99,-14.01,27.40,APPLIED
Marvel: Ultimate Alliance 2 - PSP Game,PSP,game only,loose,19.99,22.22,26.99,4.77,5.92,APPLIED
Marvel: Ultimate Alliance 2 - PSP Game,PSP,complete (cib),cib,29.99,22.22,40.99,18.77,9.51,APPLIED
Mary Kate and Ashley Sweet 16 - GBA Game,Gameboy Advance,game only,loose,4.95,7.98,6.99,-0.99,1.54,APPLIED
Mary Kate and Ashley Sweet 16 - GBA Game,Gameboy Advance,complete (cib),cib,9.80,7.98,13.99,6.01,3.48,APPLIED
Mary Kate and Ashley Sweet 16 - PS2 Game,Playstation 2,game only,loose,4.56,9.25,6.99,-2.26,1.93,APPLIED
Mary Kate and Ashley Sweet 16 - PS2 Game,Playstation 2,complete (cib),cib,8.45,9.25,11.99,2.74,2.89,APPLIED
Mary-Kate and Ashley Crush Course - Gameboy Color Game,Gameboy Color,complete (cib),cib,7.60,9.14,10.99,1.85,2.77,APPLIED
Mary-Kate and Ashley Crush Course - PS1 Game,Playstation,game only,loose,4.06,9.18,5.99,-3.19,1.46,APPLIED
Mary-Kate and Ashley Crush Course - PS1 Game,Playstation,complete (cib),cib,9.50,9.18,12.99,3.81,2.81,APPLIED
Mary-Kate and Ashley Get a Clue - Gameboy Color Game,Gameboy Color,game only,loose,3.39,7.50,4.99,-2.51,1.16,APPLIED
Mary-Kate and Ashley Get a Clue - Gameboy Color Game,Gameboy Color,complete (cib),cib,12.59,7.50,17.99,10.49,4.58,APPLIED
Mary-Kate and Ashley Magical Mystery Mall - PS1 Game,Playstation,complete (cib),cib,9.12,8.95,12.99,4.04,3.19,APPLIED
Mary-Kate and Ashley Pocket Planner - Gameboy Color Game,Gameboy Color,game only,loose,9.03,8.69,12.99,4.30,3.28,APPLIED
Mary-Kate and Ashley Pocket Planner - Gameboy Color Game,Gameboy Color,complete (cib),cib,17.56,8.69,23.99,15.30,5.43,APPLIED
Mary-Kate and Ashley Winner's Circle - Gameboy Color Game,Gameboy Color,game only,loose,7.65,8.38,10.99,2.61,2.72,APPLIED
