id	custom_label_0	custom_label_2
shopify_ZZ_7956600422434_43794686935074	under_20	game
shopify_ZZ_7956600455202_43794753191970	under_20	game
shopify_ZZ_7956600455202_43794686902306	under_20	game
shopify_ZZ_7956600487970_43794753093666	under_20	game
shopify_ZZ_7956600487970_43794686869538	under_20	game
shopify_ZZ_7956600520738_43794753126434	under_20	game
shopify_ZZ_7956600520738_43794686836770	under_20	game
shopify_ZZ_7956600553506_43794753257506	20_to_50	game
shopify_ZZ_7956600553506_43794686804002	20_to_50	game
shopify_ZZ_7956600586274_43794753224738	20_to_50	game
shopify_ZZ_7956600586274_43794686771234	20_to_50	game
shopify_ZZ_7956600619042_43794753290274	20_to_50	game
shopify_ZZ_7956600619042_43794686738466	20_to_50	game
shopify_ZZ_7956600651810_43794753323042	under_20	game
shopify_ZZ_7956600651810_43794686705698	under_20	game
shopify_ZZ_7956600684578_43794753355810	under_20	game
shopify_ZZ_7956600684578_43794686672930	under_20	game
shopify_ZZ_7956600717346_43794753388578	under_20	game
shopify_ZZ_7956600717346_43794686640162	under_20	game
shopify_ZZ_7956600750114_43794753421346	under_20	game
shopify_ZZ_7956600750114_43794686607394	under_20	game
shopify_ZZ_7956600782882_43794753454114	under_20	game
shopify_ZZ_7956600782882_43794686541858	under_20	game
shopify_ZZ_7956600815650_43794753486882	under_20	game
shopify_ZZ_7956600815650_43794686476322	under_20	game
shopify_ZZ_7956600848418_43794753519650	under_20	game
shopify_ZZ_7956600848418_43794686443554	under_20	game
shopify_ZZ_7956600881186_43794753552418	under_20	game
shopify_ZZ_7956600881186_43794686410786	under_20	game
shopify_ZZ_7956600913954_43794753585186	under_20	game
shopify_ZZ_7956600913954_43794686345250	under_20	game
shopify_ZZ_7956600946722_43794753650722	under_20	game
shopify_ZZ_7956600946722_43794686279714	under_20	game
shopify_ZZ_7956600979490_43794753683490	over_50	game
shopify_ZZ_7956600979490_43794686246946	over_50	game
shopify_ZZ_7956601012258_43794753716258	over_50	game
shopify_ZZ_7956601012258_43794686214178	over_50	game
shopify_ZZ_7956601045026_43794753749026	20_to_50	game
shopify_ZZ_7956601045026_43794686181410	20_to_50	game
shopify_ZZ_7956601077794_43794753781794	under_20	game
shopify_ZZ_7956601077794_43794686148642	under_20	game
shopify_ZZ_7956601110562_43794753814562	under_20	game
shopify_ZZ_7956601110562_43794686115874	under_20	game
shopify_ZZ_7956601143330_43794753847330	under_20	game
shopify_ZZ_7956601143330_43794686083106	under_20	game
shopify_ZZ_7956601176098_43794753880098	under_20	game
shopify_ZZ_7956601176098_43794686050338	under_20	game
shopify_ZZ_7956601208866_43794753912866	under_20	game
shopify_ZZ_7956601208866_43794686017570	under_20	game
