id,excluded_destination
shopify_US_7956602650658_43794684149794,Shopping_ads
shopify_US_7956602683426_43794684117026,Shopping_ads
shopify_US_7956602716194_43794684051490,Shopping_ads
shopify_US_7956602748962_43794684018722,Shopping_ads
shopify_US_7956602781730_43794683985954,Shopping_ads
shopify_US_7956602814498_43794683953186,Shopping_ads
shopify_US_7956602847266_43794683920418,Shopping_ads
shopify_US_7956602880034_43794683887650,Shopping_ads
shopify_US_7956602912802_43794683854882,Shopping_ads
shopify_US_7956602945570_43794683822114,Shopping_ads
shopify_US_7956602978338_43794683789346,Shopping_ads
shopify_US_7956603011106_43794683756578,Shopping_ads
shopify_US_7956603043874_43794683723810,Shopping_ads
shopify_US_7956603076642_43794683691042,Shopping_ads
shopify_US_7956603109410_43794683658274,Shopping_ads
shopify_US_7956603142178_43794683625506,Shopping_ads
shopify_US_7956603174946_43794683592738,Shopping_ads
shopify_US_7956603240482_43794683559970,Shopping_ads
shopify_US_7956603273250_43794683527202,Shopping_ads
shopify_US_7956603306018_43794683494434,Shopping_ads
shopify_US_7956603338786_43794683461666,Shopping_ads
shopify_US_7956603371554_43794683428898,Shopping_ads
shopify_US_7956603404322_43794683396130,Shopping_ads
shopify_US_7956603437090_43794683363362,Shopping_ads
shopify_US_7956603469858_43794683330594,Shopping_ads
shopify_US_7956603502626_43794683297826,Shopping_ads
shopify_US_7956603535394_43794683265058,Shopping_ads
shopify_US_7956603568162_43794683232290,Shopping_ads
shopify_US_7956603600930_43794683199522,Shopping_ads
shopify_US_7956603633698_43794683166754,Shopping_ads
shopify_US_7956603666466_43794683133986,Shopping_ads
shopify_US_7956603699234_43794683101218,Shopping_ads
shopify_US_7956603732002_43794683068450,Shopping_ads
shopify_US_7956603764770_43794683035682,Shopping_ads
shopify_US_7956603797538_43794683002914,Shopping_ads
shopify_US_7956603830306_43794682806306,Shopping_ads
shopify_US_7956603863074_43794682773538,Shopping_ads
shopify_US_7956603895842_43794682740770,Shopping_ads
shopify_US_7956603928610_43794682708002,Shopping_ads
shopify_US_7956603961378_43794682675234,Shopping_ads
shopify_US_7956603994146_43794682642466,Shopping_ads
shopify_US_7956604026914_43794682609698,Shopping_ads
shopify_US_7956604059682_43794682576930,Shopping_ads
shopify_US_7956604092450_43794682544162,Shopping_ads
shopify_US_7956604125218_43794682511394,Shopping_ads
shopify_US_7956604157986_43794682478626,Shopping_ads
shopify_US_7956604190754_43794682445858,Shopping_ads
shopify_US_7956604256290_43794682413090,Shopping_ads
shopify_US_7956604289058_43794682380322,Shopping_ads
shopify_US_7956604354594_43794682282018,Shopping_ads
shopify_US_7956604387362_43794682249250,Shopping_ads
shopify_US_7956604420130_43794682216482,Shopping_ads
shopify_US_7956604452898_43794682183714,Shopping_ads
shopify_US_7956604485666_43794682150946,Shopping_ads
shopify_US_7956604518434_43794682118178,Shopping_ads
shopify_US_7956604551202_43794682085410,Shopping_ads
shopify_US_7956604583970_43794681987106,Shopping_ads
shopify_US_7956604616738_43794681954338,Shopping_ads
shopify_US_7956604649506_43794681921570,Shopping_ads
shopify_US_7956604682274_43794681888802,Shopping_ads
shopify_US_7956604715042_43794681856034,Shopping_ads
shopify_US_7956604780578_43794681823266,Shopping_ads
shopify_US_7956604813346_43794681790498,Shopping_ads
shopify_US_7956605403170_43794681757730,Shopping_ads
shopify_US_7956605435938_43794681724962,Shopping_ads
shopify_US_7956605468706_43794681692194,Shopping_ads
shopify_US_7956605501474_43794681659426,Shopping_ads
shopify_US_7956605534242_43794681626658,Shopping_ads
shopify_US_7956605567010_43794681593890,Shopping_ads
shopify_US_7956605599778_43794681561122,Shopping_ads
shopify_US_7956605665314_43794681528354,Shopping_ads
shopify_US_7956605698082_43794681495586,Shopping_ads
shopify_US_7956605730850_43794681462818,Shopping_ads
shopify_US_7956605763618_43794681430050,Shopping_ads
shopify_US_7956605796386_43794681397282,Shopping_ads
shopify_US_7956605829154_43794681364514,Shopping_ads
shopify_US_7956605861922_43794681331746,Shopping_ads
shopify_US_7956605894690_43794681298978,Shopping_ads
